Raw_Material_year,Raw_Material_month,Raw_Material_day,Raw_Material_hour,Vendor_year,Vendor_month,Vendor_day,Vendor_hour,First_Order_Date_year,First_Order_Date_month,First_Order_Date_day,First_Order_Date_hour
,,,,,,,,2024,10,17,0
,,,,,,,,2024,10,16,0
,,,,,,,,2024,10,16,0
,,,,,,,,2024,10,16,0
,,,,,,,,2024,10,15,0
,,,,,,,,2024,10,15,0
,,,,,,,,2024,10,12,0
,,,,,,,,2024,10,11,0
,,,,,,,,2024,10,11,0
,,,,,,,,2024,10,4,0
,,,,,,,,2024,9,29,0
,,,,,,,,2024,9,29,0
,,,,,,,,2024,9,28,0
,,,,,,,,2024,9,27,0
,,,,,,,,2024,9,25,0
,,,,,,,,2024,9,24,0
