Customer,Total_Cost
Cafe,342438.18199999974
Butchery kitchen,231118.554
Bar,197614.67700000005
Restaurant Indian,173664.2349999999
Restaurant Pentry,166765.47099999996
Staff Kitchen,159030.32799999995
Restaurant Chinese,157496.61799999996
Restaurant Tandoor,138713.64599999995
Main Bakery,138232.02900000007
Rooftop Indian,89654.21799999996
Rooftop Continental,37798.922
ROOM SERVICE,32321.611
Rooftop Tandoor,31526.733
Rooftop Pentry,30382.040999999997
Restaurant,23682.746
Restaurant South Indian Dept,18145.093
Rooftop,17093.37
Sweet,13999.427
Rooftop South Indian,12959.444000000003
Rooftop Kitchen,12618.627
Breakfast,10553.078999999998
Restaurant Kitchen,10341.758
Food Testing (Trial),6498.649999999999
Front Office,2052.8230000000003
