Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Bar,100 Piper,BTL,1.0,,,
Bar,7 Up,BTL,96.0,,,
Bar,7 Up 750 Ml,BTL,48.0,,,
Bar,Absolut Vodka,BTL,8.0,,,
Bar,Amrut Amalgam,BTL,1.0,,,
Bar,Antiquity Blue,BTL,2.0,,,
Bar,Apple,Kg,1.5,0.2,1.3,86.66666666666667
Bar,Apple Juice,LTR,6.0,,,
Bar,Aquafina Water,BTL,1980.0,,,
Bar,Bacardi,BTL,3.0,,,
Bar,Ballantine S Finest,BTL,3.0,,,
Bar,Bira White,BTL,52.0,,,
Bar,Bisleri 1 Ltr,BTL,780.0,,,
Bar,Black & White,BTL,3.0,,,
Bar,Black Dog Triple Gold Reserve,BTL,3.0,,,
Bar,Blue Curacao Syrup,BTL,3.0,,,
Bar,Bombay Sapphire,BTL,2.0,,,
Bar,Budweiser,BTL,72.0,,,
Bar,Budweiser Magnum,BTL,48.0,,,
Bar,Carlsberg,BTL,48.0,,,
Bar,Cheesling,TIN,8.0,,,
Bar,Chivas Regal 12 Yrs,BTL,4.0,,,
Bar,Chivas Regal 18 Yrs,BTL,1.0,,,
Bar,Coconut Syrup,BTL,2.0,,,
Bar,Corona,BTL,72.0,,,
Bar,Cranberry Juice,LTR,3.0,,,
Bar,Demerara Sugar,Kg,0.5,,,
Bar,Diet Coke,CAN,216.0,,,
Bar,Dukes Soda,BTL,816.0,,,
Bar,Eggs,PCS,10.0,16664.0,-16654.0,-166540.0
Bar,Ginger Ale,CAN,36.0,,,
Bar,Green Lemon,Kg,1.0,,,
Bar,Grenadine Syrup,BTL,2.0,,,
Bar,Grey Goose Vodka,BTL,3.0,,,
Bar,Heineken,BTL,24.0,,,
Bar,Hendricks,BTL,1.0,,,
Bar,Hoegaarden Belgian,BTL,24.0,,,
Bar,Ice,Kg,720.0,,,
Bar,Irish Whisky Jameson Triple Distilled,BTL,2.0,,,
Bar,J W Black Label,BTL,2.0,,,
Bar,J W Double Black,BTL,2.0,,,
Bar,J W Red Label,BTL,2.0,,,
Bar,Jacob S Creek Classic Caberne Shirz,BTL,6.0,,,
Bar,Jacob S Creek Classic Chardonnay,BTL,3.0,,,
Bar,Jacobs Creek Cabernet Shiraz,BTL,3.0,,,
Bar,Jim Beam,BTL,1.0,,,
Bar,Ketel One,BTL,1.0,,,
Bar,Kingfisher,BTL,120.0,,,
Bar,Kingfisher Strong,BTL,48.0,,,
Bar,Kingfisher Ultra,BTL,120.0,,,
Bar,Kiwi Crush,BTL,1.0,,,
Bar,Kot Roll,NOS,24.0,,,
Bar,Legacy Premium,BTL,1.0,,,
Bar,Lemon,Kg,82.0,2.887000000000002,79.113,96.47926829268293
Bar,Lemon Iced Tea Syrup,LTR,6.0,,,
Bar,Litchi Crush,BTL,1.0,,,
Bar,Mint Leaves,Kg,3.25,1.49,1.76,54.15384615384615
Bar,Mojito Mint Syrup,BTL,3.0,,,
Bar,Monkey Shoulder,BTL,2.0,,,
Bar,Orange Imp,Kg,2.0,,,
Bar,Paper Straw,PKT,20.0,,,
Bar,Peach Syrup,BTL,1.0,,,
Bar,Peanut Roasted,Kg,65.0,,,
Bar,Pepsi,BTL,48.0,,,
Bar,Perrier Carbonated Water,BTL,24.0,,,
Bar,Pineapple Fruit,Kg,4.0,0.17,3.83,95.75
Bar,Red Bull,CAN,24.0,,,
Bar,Red Cherry,TIN,16.0,,,
Bar,Red La Reserve,BTL,3.0,,,
Bar,Royal Challenge,BTL,2.0,,,
Bar,Salt Tata,PKT,1.0,29.94699999999923,-28.94699999999923,-2894.699999999923
Bar,Signature Rare Aged,BTL,2.0,,,
Bar,Singleton,BTL,1.0,,,
Bar,Smirnoff,BTL,3.0,,,
Bar,Strawberry Crush,BTL,4.0,,,
Bar,Sugar,Kg,19.5,30.33599999999956,-10.835999999999562,-55.56923076922852
Bar,Sweet Lemon,Kg,1.0,,,
Bar,Tabasco Sauce,BTL,3.0,,,
Bar,Tanqueray Gin,BTL,2.0,,,
Bar,Teachers 50,BTL,2.0,,,
Bar,Teachers Highland Cream,BTL,1.0,,,
Bar,The Glenlivet 12 Years,BTL,3.0,,,
Bar,Thums Up,BTL,288.0,,,
Bar,Tomato Juice,PKT,3.0,,,
Bar,Tonic Water,CAN,48.0,,,
Bar,Triple Sec,BTL,2.0,,,
Bar,Vanilla Md Ice Cream,LTR,12.0,1.92,10.08,84.0
Bar,Worcestershire Sauce (chinese),BTL,3.0,,,
Bar,Yellow Tail Chardonnay,BTL,3.0,,,
Breakfast,Atta,Kg,25.0,72.09999999999977,-47.09999999999977,-188.39999999999907
Breakfast,Banana Leaf,PCS,5.0,11.0,-6.0,-120.0
Breakfast,Besan,Kg,10.0,3.25,6.75,67.5
Breakfast,Coconut Big,PCS,30.0,1200.5,-1170.5,-3901.6666666666665
Breakfast,Curd Mother Dairy,Kg,8.0,19.5619999999999,-11.561999999999902,-144.52499999999878
Breakfast,Daliya,Kg,5.0,,,
Breakfast,Dhokla Atta,Kg,6.0,,,
Breakfast,Drum Stick,Kg,5.0,,,
Breakfast,Green Peas,PKT,4.0,4.956000000000001,-0.9560000000000013,-23.900000000000034
Breakfast,Hing Powder,BTL,6.0,0.56,5.4399999999999995,90.66666666666666
Breakfast,Kaju Tukda,Kg,1.0,6.024000000000002,-5.024000000000002,-502.4000000000002
Breakfast,Kishmish,Kg,0.5,,,
Breakfast,Milk 3 Fat,PKT,4.0,28.64999999999998,-24.64999999999998,-616.2499999999995
Breakfast,Nature Jaggery,PKT,3.0,,,
Breakfast,Peanut Roasted,Kg,2.0,,,
Breakfast,Red Pumpkin,Kg,8.0,,,
Breakfast,Refind Oil,LTR,40.0,35.69899999999958,4.301000000000421,10.752500000001053
Breakfast,Sabudana,Kg,2.0,,,
Breakfast,Sambhar Masala,PKT,4.0,,,
Breakfast,Vermicelli Noodle,PKT,6.0,,,
Butchery kitchen,Bombil,Kg,18.0,1.0,17.0,94.44444444444444
Butchery kitchen,Chicken Breast Bonless,Kg,166.0,47.07999999999999,118.92000000000002,71.63855421686748
Butchery kitchen,Chicken Broiler,Kg,160.8,,,
Butchery kitchen,Chicken Carcass (haddi),Kg,73.0,,,
Butchery kitchen,Chicken Leg Bonless,Kg,283.0,179.94,103.06,36.416961130742045
Butchery kitchen,Chicken Supreme,Kg,68.5,,,
Butchery kitchen,Chicken Tandoori,Kg,24.099999999999998,,,
Butchery kitchen,Crab Whole Big,Kg,1.0,,,
Butchery kitchen,Medium Prawns,Kg,26.900000000000002,9.45,17.450000000000003,64.86988847583643
Butchery kitchen,Mutton Big Raan,Kg,138.60000000000002,39.45999999999998,99.14000000000004,71.52958152958155
Butchery kitchen,Pomfret,Kg,75.3,0.4,74.89999999999999,99.468791500664
Butchery kitchen,Prawns Frozen 70/80,Kg,18.0,0.19,17.81,98.94444444444443
Butchery kitchen,Rawas Fish,Kg,21.5,3.64,17.86,83.06976744186046
Butchery kitchen,Small Crab Whole,Kg,18.3,,,
Butchery kitchen,Squid,Kg,6.5,1.6500000000000004,4.85,74.6153846153846
Butchery kitchen,Surmay Fish,Kg,14.0,2.0,12.0,85.71428571428571
Butchery kitchen,Tiger Prawns,Kg,37.0,,,
Cafe,Almond Milk,PKT,245.0,,,
Cafe,Amul Milk,LTR,610.0,,,
Cafe,Baba Budan Peak,Kg,2.0,,,
Cafe,Banana Leaf,PCS,320.0,11.0,309.0,96.5625
Cafe,Bisleri 250 Ml,BTL,14256.0,,,
Cafe,Black Coffee Cup 450 Ml,PCS,750.0,,,
Cafe,Black Cup 250m,PCS,200.0,,,
Cafe,Caramel Syrup,BTL,4.0,,,
Cafe,Cling Foil,ROLL,5.0,,,
