Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
100 Piper,BTL,1.0,,,
7 Up,BTL,96.0,,,
7 Up 750 Ml,BTL,192.0,,,
8 To 9 Sauce,BTL,18.0,0.16,17.84,99.1111111111111
A4 Size Paper,RIM,9.0,,,
Aalu Bukhara (plum),Kg,2.0,0.56,1.44,72.0
Absolut Vodka,BTL,6.0,,,
After Mint M Pot,PKT,55.0,,,
After Mint T One,PKT,15.0,,,
Ajwain,Kg,0.5,0.02,0.48,96.0
Almond,Kg,4.0,,,
Almond Milk,PKT,210.0,,,
American Corn,Kg,47.5,41.35999999999998,6.140000000000022,12.92631578947373
Amul Cream,PKT,147.0,90.73400000000049,56.26599999999951,38.276190476190145
Amul Milk,LTR,607.0,,,
Anna Kaapi,PKT,60.0,,,
Antiquity Blue,BTL,2.0,,,
Appam Rice,Kg,90.0,18.40000000000001,71.6,79.55555555555554
Apple,Kg,52.300000000000004,0.2,52.1,99.61759082217972
Apple Juice,LTR,6.0,,,
Aquafina Water,BTL,2796.0,,,
Aquafina Water 500 Ml,BTL,2160.0,,,
Aromatic Powder,PKT,48.0,5.236000000000004,42.763999999999996,89.09166666666665
Asparagus,Kg,5.0,1.6700000000000004,3.3299999999999996,66.6
Asparagus Imp,Kg,1.0,,,
Assam Tea,PKT,2.0,,,
Atta,Kg,480.0,72.09999999999977,407.9000000000002,84.9791666666667
Avocado Imp,Kg,2.65,,,
Avocado Ind,Kg,1.15,,,
Baby Corn,Kg,44.0,10.730000000000004,33.269999999999996,75.61363636363635
Baby Potato,Kg,21.0,9.5,11.5,54.761904761904766
Baby Spinach,Kg,1.3,,,
Bacardi,BTL,3.0,,,
Badi Sunf,Kg,2.0,0.094,1.906,95.3
Bajra,Kg,3.0,,,
Baked Beans,TIN,4.0,,,
Baking Powder,PKT,2.0,0.0375,1.9625,98.125
Ballantine S Finest,BTL,2.0,,,
Bamboo Shoots,TIN,12.0,,,
Banana Leaf,PCS,570.0,11.0,559.0,98.0701754385965
Banana Raw,Kg,2.0,,,
Basmati Rice,Kg,270.0,113.0,157.0,58.14814814814815
Bean Sprouts,Kg,5.0,0.8500000000000001,4.15,83.0
Beetroots,Kg,22.5,3.5,19.0,84.44444444444444
Bell Papper Yellow,Kg,50.0,13.200000000000003,36.8,73.6
Bell Pepper Red,Kg,51.75,13.2,38.55,74.4927536231884
Besan,Kg,20.0,3.2499999999999996,16.75,83.75
Bhavnagri Chilly,Kg,5.0,3.2000000000000006,1.7999999999999994,35.999999999999986
Bira White,BTL,52.0,,,
Biscoff Biscut 250 Gm,PKT,8.0,,,
Biscoff Spread,JAR,5.0,,,
Bisleri 1 Ltr,BTL,1020.0,,,
Bisleri 200ml,BTL,2160.0,,,
Bisleri 250 Ml,BTL,13536.0,,,
Black & White,BTL,3.0,,,
Black Beans Seed,Kg,1.0,0.021,0.979,97.89999999999999
Black Chana,Kg,18.5,,,
Black Coffee Cup 450 Ml,PCS,500.0,,,
Black Dal,Kg,45.0,,,
Black Dog Triple Gold Reserve,BTL,3.0,,,
Black Elaichi,Kg,0.25,,,
Black Fungus,Kg,1.0,0.16,0.84,84.0
Black Pepper Whole,Kg,1.0,1.8370000000000004,-0.8370000000000004,-83.70000000000005
