Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Frappe Powder,Thursday,PKT,39176.0,40.0,24.0,16.0,66.67
Staff Rice,Wednesday,Kg,36000.0,150.0,172.5,-22.5,-13.04
Madagascar Chocolate,Tuesday,PKT,34367.5,1.6666666666666667,1.4285714285714286,0.23809523809523814,16.67
Basmati Rice,Wednesday,Kg,33480.0,54.0,62.5,-8.5,-13.6
Malai Paneer,Sunday,Kg,32860.0,15.142857142857142,10.782608695652174,4.3602484472049685,40.44
Maida,Wednesday,Kg,30800.0,140.0,137.5,2.5,1.82
Kaju Tukda,Thursday,Kg,30555.0,15.0,12.0,3.0,25.0
Frappe Powder,Saturday,PKT,30361.399999999998,15.5,24.0,-8.5,-35.42
Chicken Broiler,Saturday,Kg,28865.8,40.2,40.435714285714276,-0.23571428571427333,-0.58
Refind Oil,Friday,LTR,27277.495000000003,41.8,46.285714285714285,-4.4857142857142875,-9.69
Pomfret,Thursday,Kg,27000.0,5.4,5.533333333333334,-0.13333333333333375,-2.41
Kaju Tukda,Saturday,Kg,26334.0,13.5,8.0,5.5,68.75
Peel Garlic,Thursday,Kg,26280.0,10.428571428571429,12.200000000000001,-1.7714285714285722,-14.52
Bisleri 250 Ml,Friday,BTL,24899.998,1260.0,1056.0,204.0,19.32
Pomfret,Sunday,Kg,23375.0,4.675000000000001,8.545454545454545,-3.8704545454545443,-45.29
Pomfret,Tuesday,Kg,22625.0,4.525,4.6,-0.07499999999999929,-1.63
Atta,Wednesday,Kg,22080.0,96.0,102.5,-6.5,-6.34
Butter Amul,Sunday,PKT,21600.0,40.0,40.0,0.0,0.0
Toor Dal,Wednesday,Kg,21600.0,30.0,30.0,0.0,0.0
Ghee Nandani,Thursday,Kg,21518.64,12.0,12.0,0.0,0.0
Peel Garlic,Monday,Kg,20880.0,11.6,11.0,0.5999999999999996,5.45
Madagascar Chocolate,Friday,PKT,20620.5,1.0,2.0,-1.0,-50.0
Madagascar Chocolate,Wednesday,PKT,20620.5,1.5,2.0,-0.5,-25.0
Malai Paneer,Friday,Kg,20500.0,11.0,10.285714285714285,0.7142857142857153,6.94
Malai Paneer,Saturday,Kg,20460.0,11.0,10.3,0.6999999999999993,6.8
Malai Paneer,Thursday,Kg,20460.0,9.428571428571427,9.272727272727273,0.15584415584415368,1.68
Refind Oil,Tuesday,LTR,19751.9,50.0,48.75000000000001,1.249999999999993,2.56
Mutton Big Raan,Thursday,Kg,19560.0,6.5200000000000005,7.275,-0.7549999999999999,-10.38
Refind Oil,Saturday,LTR,18673.47,46.666666666666664,46.285714285714285,0.3809523809523796,0.82
Pomfret,Friday,Kg,18625.0,7.449999999999999,5.9,1.549999999999999,26.27
