Invoice_Date,Raw_Material,Vendor,Total_Qty,Total_Amount,Entry_Count
2024-10-01,Milk 3 Fat,UPTA MILK CENTER,25.0,1400.0,2
2024-10-02,Malai Paneer,Suraj Cream Centre,16.0,4960.0,2
2024-10-02,Milk 3 Fat,UPTA MILK CENTER,35.0,1960.0,2
2024-10-04,Amul Milk,Zomato Hyperpure Pvt.Ltd.Mumbai,36.0,2721.6000000000004,2
2024-10-04,Bisleri 1 Ltr,Bisleri International Pvt Ltd,840.0,9240.0,2
2024-10-04,Cheese Amul,Zomato Hyperpure Pvt.Ltd.Mumbai,16.0,8171.52,2
2024-10-04,Idli Wada,Cash Exps Store,16.0,590.0,2
2024-10-04,Malai Paneer,Suraj Cream Centre,20.0,6200.0,2
2024-10-04,Refind Oil,Zomato Hyperpure Pvt.Ltd.Mumbai,60.0,7658.1,2
2024-10-07,Bread Slice,Blue Stores,3.0,181.0,2
2024-10-08,Malai Paneer,Suraj Cream Centre,16.0,4960.0,2
2024-10-09,Steam Noodles,G SUPPLIERS,4.0,320.0,2
2024-10-11,Milk 3 Fat,UPTA MILK CENTER,40.0,2240.0,2
2024-10-12,Malai Paneer,Suraj Cream Centre,30.0,9300.0,3
2024-10-13,Chapati For Staff,Kajal S. Rajput,600.0,3300.0,2
2024-10-13,Malai Paneer,Suraj Cream Centre,36.0,11160.0,2
2024-10-15,Ech House Blend,The Coffee Company,48.0,43155.0,2
2024-10-15,Milk 3 Fat,UPTA MILK CENTER,30.0,1680.0,2
2024-10-17,Bisleri 200ml,Bisleri International Pvt Ltd,2160.0,9900.005000000001,2
2024-10-17,Chapati For Staff,Kajal S. Rajput,1000.0,5500.0,4
2024-10-17,Malai Paneer,Suraj Cream Centre,16.0,4960.0,2
2024-10-17,Oreo Biscuit,Blue Stores,30.0,300.0,2
2024-10-17,Peel Garlic,FREEZE FRESH,21.0,7560.0,2
