Raw_Material,Unit,Current_Vendors,Previous_Vendors,Average_Amount,Current_Average_Price,Previous_Average_Price,Price_Change
Ech House Blend,Kg,The Coffee Company,"BEAN SEVEN,The Coffee Company",26880.0,896.0,892.5,3.5
Kingfisher Ultra,BTL,LANDMARK MERCH PVT. LTD.,LANDMARK MERCH PVT. LTD.,15709.92,130.916,123.47416666666666,7.441833333333335
Kaju Tukda,Kg,Honest MASALAs,"Amul Store,Honest MASALAs,Zomato Hyperpure Pvt.Ltd.Mumbai",14559.3,1011.0625,922.9747047619047,88.08779523809528
Lunch Box Big,NOS,Biour Hygiene Solutions,"Biour Hygiene Solutions,Zomato Hyperpure Pvt.Ltd.Mumbai",11505.0,7.67,7.659875294117647,0.010124705882352814
Butter Amul,PKT,Zomato Hyperpure Pvt.Ltd.Mumbai,Zomato Hyperpure Pvt.Ltd.Mumbai,10800.0,270.0,260.8695652173913,9.130434782608688
Budweiser,BTL,MARDI GRAS SPIRITS,GODESS MARKKETING,9533.088,132.404,132.107125,0.296875
Jacob S Creek Classic Caberne Shirz,BTL,MARDI GRAS SPIRITS,MARDI GRAS SPIRITS,8650.98,1441.83,1441.785,0.044999999999845386
Black Dog Triple Gold Reserve,BTL,Matergasti Agencies,Matergasti Agencies,8407.98,2802.66,2782.383333333333,20.276666666666642
The Glenlivet 12 Years,BTL,CANDY SPIRITS PVT .LTD.,MARDI GRAS SPIRITS,8214.755000000001,5476.503333333334,5475.393333333333,1.110000000000582
Chivas Regal 12 Yrs,BTL,MARDI GRAS SPIRITS,MARDI GRAS SPIRITS,7300.52,3650.26,3649.795,0.4650000000001455
Staff Rice,Kg,PKM TRADING,PKM TRADING,7200.0,48.0,46.2375,1.7625000000000028
Black & White,BTL,Matergasti Agencies,Matergasti Agencies,7111.23,2370.41,2353.495833333333,16.914166666666915
Ghee Nandani,Kg,"Amul Store,Zomato Hyperpure Pvt.Ltd.Mumbai",Zomato Hyperpure Pvt.Ltd.Mumbai,6439.901,599.0605581395349,598.5508701754388,0.5096879640960879
Absolut Vodka,BTL,MARDI GRAS SPIRITS,MARDI GRAS SPIRITS,6160.335,2053.445,2053.21,0.23500000000012733
Maida,Kg,PKM TRADING,PKM TRADING,6160.0,44.0,42.89473684210526,1.1052631578947398
Hand Wash 5 Ltr,CAN,JAYPEE ENTERPRISES,"JAYPEE ENTERPRISES,RAJ HARDWARE",5841.0,973.5,767.0,206.5
Teachers 50,BTL,Shivalik India Alco Pvt Ltd,Shivalik India Alco Pvt Ltd,5782.7,2891.35,2872.49,18.860000000000127
Cocoa Powder,Kg,Zomato Hyperpure Pvt.Ltd.Mumbai,"Shree Nakoda Disributors,Zomato Hyperpure Pvt.Ltd.Mumbai",5694.1,1138.8200000000002,1041.266,97.55400000000009
Aquafina Water,BTL,"Cash Exps Store,Sell Well Foods And Beverages Pvt L,VMA Distributors",Sell Well Foods And Beverages Pvt L,5678.639999999999,12.185922746781117,12.08347227722772,0.10245046955339632
White Urad Dal,Kg,PKM TRADING,PKM TRADING,5460.0,182.0,180.57142857142858,1.4285714285714164
Demerara Sugar 5 Gm,PKT,The Coffee Company,OMNI PACKAGING,5443.2,302.4,266.0,36.39999999999998
Refind Oil,LTR,"Amul Store,Zomato Hyperpure Pvt.Ltd.Mumbai","Amul Store,Blue Stores,Zomato Hyperpure Pvt.Ltd.Mumbai",5348.122045454546,133.2487938844847,111.49467555875992,21.75411832572479
Kingfisher Strong,BTL,LANDMARK MERCH PVT. LTD.,LANDMARK MERCH PVT. LTD.,5214.576,108.637,108.45299999999999,0.1840000000000117
Grey Goose Vodka,BTL,GODESS MARKKETING,GODESS MARKKETING,4799.299999999999,4799.299999999999,4491.738888888889,307.5611111111102
Tea Powder,Kg,PKM TRADING,"PKM TRADING,THAKKER TEA",4750.0,570.0,485.2142857142857,84.78571428571428
Monkey Shoulder,BTL,GODESS MARKKETING,GODESS MARKKETING,4521.11,4521.11,4490.280000000001,30.829999999999018
Atta,Kg,PKM TRADING,PKM TRADING,4416.0,46.0,45.020833333333336,0.9791666666666643
Hoegaarden Belgian,BTL,GODESS MARKKETING,GODESS MARKKETING,4374.144,182.256,182.22485714285716,0.031142857142839375
Smirnoff,BTL,Matergasti Agencies,Matergasti Agencies,4266.75,1422.25,1412.4733333333331,9.77666666666687
Bacardi,BTL,GODESS MARKKETING,GODESS MARKKETING,4240.86,1413.62,1413.3933333333332,0.2266666666666879
Peel Garlic,Kg,FREEZE FRESH,"FREEZE FRESH,Zomato Hyperpure Pvt.Ltd.Mumbai",3918.4615384615395,360.0,232.2895238095238,127.71047619047619
7 Up 750 Ml,BTL,"Sell Well Foods And Beverages Pvt L,VMA Distributors",Sell Well Foods And Beverages Pvt L,3887.8199999999997,40.498124999999995,38.911764705882355,1.5863602941176396
Heineken,BTL,LANDMARK MERCH PVT. LTD.,LANDMARK MERCH PVT. LTD.,3475.296,144.804,144.47066666666666,0.3333333333333428
Prawns Frozen 70/80,Kg,FRESH FOOD SERVICES,FRESH FOOD SERVICES,3240.01,540.0016666666667,540.0,0.0016666666666651508
Onion,Kg,Veggies Traders,Veggies Traders,3196.7333333333327,61.912201420271145,47.76933158584535,14.142869834425795
Red La Reserve,BTL,MARDI GRAS SPIRITS,MARDI GRAS SPIRITS,3109.35,1036.45,691.6149999999999,344.83500000000015
Ness Coffee,PKT,Zomato Hyperpure Pvt.Ltd.Mumbai,"NOBLE SALES,Zomato Hyperpure Pvt.Ltd.Mumbai",3004.34,1502.17,1422.753333333333,79.41666666666697
Antiquity Blue,BTL,Matergasti Agencies,Matergasti Agencies,2930.86,1465.43,1454.7,10.730000000000018
Mop Clip,NOS,RAJ HARDWARE,GLOBAL ENTERPRISES,2761.2,460.2,47.2,413.0
Irish Whisky Jameson Triple Distilled,BTL,MARDI GRAS SPIRITS,MARDI GRAS SPIRITS,2555.63,2555.63,2555.056363636364,0.5736363636360693
Tanqueray Gin,BTL,Matergasti Agencies,Matergasti Agencies,2552.24,2552.24,2545.5,6.739999999999782
