Raw_Material,Current_Vendors,Previous_Vendors,Current_Price,Previous_Price,Price_Difference,Price_Comparison
7 Up 750 Ml,"Sell Well Foods And Beverages Pvt L,VMA Distributors",Sell Well Foods And Beverages Pvt L,28.927,27.85733333333333,1.06966666666667,Higher
Almond,Honest MASALAs,"Honest MASALAs,Zomato Hyperpure Pvt.Ltd.Mumbai",760.0,740.0,20.0,Higher
Almond Milk,Amul Store,"Amul Store,Cash Exps Store",75.0,74.66226315789474,0.337736842105258,Higher
Amul Cream,"Amul Store,Zomato Hyperpure Pvt.Ltd.Mumbai",Zomato Hyperpure Pvt.Ltd.Mumbai,206.25,205.42857142857142,0.8214285714285836,Higher
Aquafina Water,"Cash Exps Store,Sell Well Foods And Beverages Pvt L,VMA Distributors",Sell Well Foods And Beverages Pvt L,11.8675,10.240269230769231,1.6272307692307688,Higher
Black Chana,"Amul Store,PKM TRADING",PKM TRADING,108.0,100.55555555555556,7.444444444444443,Higher
Capsico Sauce,Zomato Hyperpure Pvt.Ltd.Mumbai,"IMPEX PVT.LTD.,SS Sales Agencies,Zomato Hyperpure Pvt.Ltd.Mumbai",68.285,65.52199999999999,2.7630000000000052,Higher
Castor Sugar,SS Sales Agencies,"IMPEX PVT.LTD.,SS Sales Agencies,Zomato Hyperpure Pvt.Ltd.Mumbai",120.0,109.10875,10.89125,Higher
Ceiling Broom,GLOBAL ENTERPRISES,"GLOBAL ENTERPRISES,RAJ HARDWARE",100.0,85.0,15.0,Higher
Cello Tape,Cash Exps Store,"Blue Stores,Cash Exps Store,Zomato Hyperpure Pvt.Ltd.Mumbai",50.0,36.7574,13.242600000000003,Higher
Chat Masala,Honest MASALAs,"Honest MASALAs,Zomato Hyperpure Pvt.Ltd.Mumbai",75.0,73.37857142857143,1.6214285714285666,Higher
Chicken Masala,Honest MASALAs,"Honest MASALAs,Zomato Hyperpure Pvt.Ltd.Mumbai",86.0,80.88055555555556,5.11944444444444,Higher
Chicken Seasoning Powder,Joyco,"Joyco,Zomato Hyperpure Pvt.Ltd.Mumbai",425.0,310.71,114.29000000000002,Higher
Chocolate Ice Cream,DATTAKRUPA ENTERPRISE,"DATTAKRUPA ENTERPRISE,S.S.V DISTRIBUTORS INDIA PVT. LTD.",139.83,124.97000000000001,14.86,Higher
Cocoa Powder,Zomato Hyperpure Pvt.Ltd.Mumbai,"Shree Nakoda Disributors,Zomato Hyperpure Pvt.Ltd.Mumbai",965.102,882.429,82.673,Higher
Coconut Dry,Honest MASALAs,"Cash Exps Store,Honest MASALAs",280.0,197.0,83.0,Higher
Coffee Cup Lid 350 Ml,Biour Hygiene Solutions,"BERIWAL INTERNATIONAL,BOSON MACHINES,Biour Hygiene Solutions",3.95,2.6075,1.3425000000000002,Higher
Coffee Cups 250 Ml,Biour Hygiene Solutions,"BOSON MACHINES,Biour Hygiene Solutions",4.1,3.9,0.19999999999999973,Higher
Corn Flour,SS Sales Agencies,"SS Sales Agencies,Zomato Hyperpure Pvt.Ltd.Mumbai",71.60499999999999,68.16666666666666,3.4383333333333326,Higher
Ech House Blend,The Coffee Company,"BEAN SEVEN,The Coffee Company",853.3333333333334,850.0,3.3333333333333712,Higher
Elaichi Bananas,"Cash Exps Store,Foodiee Singh","Cash Exps Store,Foodiee Singh,G SUPPLIERS",110.89742307692309,110.28000000000002,0.6174230769230746,Higher
Envelope,Raj Stationary & Xerox,"Cash Exps Store,Raj Stationary & Xerox",100.0,90.0,10.0,Higher
Everyday Milk Powder,Zomato Hyperpure Pvt.Ltd.Mumbai,"NOBLE SALES,Zomato Hyperpure Pvt.Ltd.Mumbai",547.97,534.1533333333333,13.81666666666672,Higher
Garbage Bags Medium,RAJ HARDWARE,"GLOBAL ENTERPRISES,RAJ HARDWARE",70.0,60.0,10.0,Higher
Ghati Masala,Amul Store,"Amul Store,Honest MASALAs",330.0,290.0,40.0,Higher
Ghee Nandani,"Amul Store,Zomato Hyperpure Pvt.Ltd.Mumbai",Zomato Hyperpure Pvt.Ltd.Mumbai,548.31875,534.6823076923076,13.636442307692391,Higher
Hand Gloves Plastic,GLOBAL ENTERPRISES,"GLOBAL ENTERPRISES,RAJ HARDWARE",50.0,43.75,6.25,Higher
Hand Wash 5 Ltr,JAYPEE ENTERPRISES,"JAYPEE ENTERPRISES,RAJ HARDWARE",825.0,562.5,262.5,Higher
Kaju Tukda,Honest MASALAs,"Amul Store,Honest MASALAs,Zomato Hyperpure Pvt.Ltd.Mumbai",962.0,872.4809523809524,89.51904761904757,Higher
Kewra Water,Zomato Hyperpure Pvt.Ltd.Mumbai,"IMPEX PVT.LTD.,SS Sales Agencies,Zomato Hyperpure Pvt.Ltd.Mumbai",32.41,31.627142857142854,0.7828571428571429,Higher
Khichu Masala,Amul Store,"Amul Store,Cash Exps Store",600.0,533.3333333333334,66.66666666666663,Higher
Lunch Box Big,Biour Hygiene Solutions,"Biour Hygiene Solutions,Zomato Hyperpure Pvt.Ltd.Mumbai",6.5,6.437428571428572,0.06257142857142828,Higher
Milk 3 Fat,UPTA MILK CENTER,"Blue Stores,UPTA MILK CENTER",56.0,55.790322580645174,0.20967741935482564,Higher
Moong Dal,"Amul Store,PKM TRADING",PKM TRADING,142.0,127.16666666666667,14.833333333333329,Higher
