Date,Timestamp,Invoice_No_,Name,Phone,Area,Table_No_,Payment_Type,Ordered_Items,Staff,Bill_Settled_By,Duration_In_Minutes
2024-10-05,2024-10-05 21:08:39+00:00,10935,,,Dine in,4,Cash,"Appam (2pc),Appam (2pc),Bottled Water,PEPSI,PEPSI,Prawns (REGULAR),Stir Fried Chicken Chilly & Basil",SM,vijay (vijay shetty),35
2024-10-05,2024-10-05 21:08:38+00:00,2955,,,Dine in,4,Cash,"SMIRNOFF,SMIRNOFF",SM,vijay (vijay shetty),35
2024-10-13,2024-10-13 22:14:40+00:00,11501,,,Dine in,20,Cash,"AMRUT - AMALGAM,Bottled Water,Bottled Water,Butter Roti,Chilly Crispy Patato,DIET COKE,Missi Roti,Mushroom Galauti,PANEER CHILLY DRY,Roti,SMIRNOFF,Soda,Soda,Subzi Kofta Masala,Subzi Lahori,Whisky Sour (JACK DANIEL'S)",TD,vijay (vijay shetty),32
2024-10-07,2024-10-07 20:14:10+00:00,11076,,,Dine in,5,Cash,"BUTTER GARLIC NAAN,Bottled Water,Bottled Water,Butter Roomali Roti,Butter Roomali Roti,Dal Tadka,ROASTED MASALA PAPAD,SINGLE TALL CAKE SUNDAE,Subzi Lahori",SM,vijay (vijay shetty),30
2024-10-17,2024-10-17 21:03:43+00:00,11694,,,PARTY,CRS 1,Cash,"DIET COKE,DIET COKE,DIET COKE,GREEN TEA,PANEER TIKKA",TB,vijay (vijay shetty),29
2024-10-17,2024-10-17 21:03:42+00:00,3136,,,PARTY,CRS 1,Cash,KINGFISHER,TB,vijay (vijay shetty),29
2024-10-17,2024-10-17 21:05:32+00:00,11697,,,PARTY,CRS 2,Cash,BUFFET,TB,vijay (vijay shetty),27
2024-10-06,2024-10-06 22:43:42+00:00,11043,,,Dine in,15,Cash,"Bottled Water,Chicken Kebabs (Murg Lalwari),Crispy Corn,DIET COKE,Dim Sum (VEG),FUTCHI RICE (VEG),Kung Pao Patato,Lemon Coriander Soup (VEG),Manchow Soup (CHICKEN),Shirely Temple,Virgin Colada",MK,vijay (vijay shetty),22
2024-10-06,2024-10-06 22:43:43+00:00,2981,,,Dine in,15,Cash,Sunrise Tequila (REGULAR),MK,vijay (vijay shetty),22
2024-10-14,2024-10-14 16:01:25+00:00,11537,,,Dine in,16,Cash,"Brocoli,Babycorn Mushroom Sizzle Chilly,Dragon Roll (VEG),Dum Pukht Biryani (VEG),Manchow Soup (VEG),Sour & Pepper Soup (VEG)",SM,sachindra (sachindra),20
