Date,Invoice_No_,Staff,Customer_Name,Phone,Status,Area,Table_No_,Item_Name,Sum_of_Sub_Total,Quantity
2024-10-01,10676,TD,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-01,10676,TD,,,Success,Dine in,1,Bottled Water,0.0,2.0
2024-10-01,10677,SM,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-01,10678,SM,,,Success,Dine in,3,Bottled Water,0.0,1.0
2024-10-01,10679,TD,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-01,10679,TD,,,Success,Dine in,12,Bottled Water,0.0,2.0
2024-10-01,10681,SM,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-01,10684,SM,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-01,10695,SM,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-01,10696,SK,,,Success,Dine in,2,Bottled Water,0.0,2.0
2024-10-01,10696,SK,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-01,10697,SK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-01,10698,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-01,10700,SK,,,Success,Dine in,11,Bottled Water,0.0,3.0
2024-10-01,10701,SM,,,Success,Dine in,14,Bottled Water,0.0,3.0
2024-10-01,10703,SK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-01,10704,SM,,,Success,Dine in,12,Bottled Water,0.0,2.0
2024-10-01,10705,SM,,,Success,Dine in,6,Bottled Water,0.0,1.0
2024-10-01,10706,SK,,,Success,Dine in,15,Bottled Water,0.0,1.0
2024-10-01,10706,SK,,,Success,Dine in,15,Bottled Water,0.0,2.0
2024-10-01,10707,TD,,,Success,Garden Table,G 2,Bottled Water,0.0,1.0
2024-10-01,10707,TD,,,Success,Garden Table,G 2,Bottled Water,0.0,3.0
2024-10-01,10708,SM,,,Success,Dine in,30,Bottled Water,0.0,6.0
2024-10-01,10710,SK,,,Success,Dine in,1,Bottled Water,0.0,1.0
2024-10-01,10710,SK,,,Success,Dine in,1,Bottled Water,0.0,2.0
2024-10-01,10711,SK,,,Success,Dine in,3,Bottled Water,0.0,2.0
2024-10-01,10712,SK,,,Success,Dine in,16,Bottled Water,0.0,2.0
2024-10-01,10714,SK,,,Success,Dine in,21,Bottled Water,0.0,1.0
2024-10-01,10715,SM,,,Success,Dine in,14,Bottled Water,0.0,2.0
2024-10-01,10716,SM,,,Success,Dine in,4,Bottled Water,0.0,1.0
2024-10-01,10717,SM,,,Success,Dine in,11,Bottled Water,0.0,1.0
2024-10-01,10718,SM,,,Success,Dine in,10,Bottled Water,0.0,1.0
2024-10-01,10719,SM,,,Success,Dine in,12,Bottled Water,0.0,1.0
2024-10-01,10720,SK,,,Success,Dine in,15,Bottled Water,0.0,1.0
2024-10-01,10721,SK,,,Success,Dine in,22,Bottled Water,0.0,1.0
2024-10-01,10723,SK,,,Success,Dine in,5,Bottled Water,0.0,1.0
2024-10-01,10723,SK,,,Success,Dine in,5,Soda,0.0,1.0
2024-10-02,10729,TD,,,Success,Dine in,2,Bottled Water,0.0,1.0
2024-10-02,10730,TD,,,Success,Dine in,16,Bottled Water,0.0,2.0
