Invoice_No_,Staff,Customer_Name,Phone,Area,Table_No_,Item_Name,Quantity,Sum_of_Sub_Total
C1950,Multiple,,,Dine in,5,Bottled Water,1.0,0.0
C1953,Multiple,,,Dine in,11,Bottled Water,2.0,0.0
C1957,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C1967,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C1973,Multiple,,,Dine in,11,Bottled Water,1.0,0.0
C1976,Multiple,,,Dine in,5,Bottled Water,1.0,0.0
C1983,Multiple,,,Dine in,11,Bottled Water,2.0,0.0
C1984,Multiple,,,Garden Table,G 5,Bottled Water,3.0,0.0
C1989,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2000,Multiple,,,Dine in,11,Bottled Water,2.0,0.0
C2002,TB,,,PARTY,CRISOL,Bottled Water,5.0,0.0
C2003,UU,,,Dine in,B 3,Bottled Water,15.0,0.0
C2009,Multiple,,,Dine in,4,Bottled Water,1.0,0.0
C2014,Multiple,,,Dine in,11,Bottled Water,1.0,0.0
C2018,Multiple,,,Dine in,4,Soda,1.0,0.0
C2018,Multiple,,,Dine in,4,Bottled Water,1.0,0.0
C2021,UU,,,Dine in,B 3,Bottled Water,15.0,0.0
C2026,SK,,,Dine in,14,Soda,5.0,0.0
C2029,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2035,Multiple,,,Dine in,11,Bottled Water,1.0,0.0
C2038,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2041,SK,,,Dine in,7,Bottled Water,1.0,0.0
C2042,SK,,,Garden Table,G 5,Bottled Water,5.0,0.0
C2044,Multiple,,,Dine in,11,Bottled Water,2.0,0.0
C2045,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2052,Multiple,,,Dine in,11,Bottled Water,1.0,0.0
C2064,Multiple,,,Dine in,11,Bottled Water,1.0,0.0
C2069,UU,,,Dine in,B 3,Bottled Water,13.0,0.0
C2076,Multiple,,,Dine in,11,Bottled Water,1.0,0.0
C2078,SM,,,Personal Dine In Room,PDR 4,Bottled Water,2.0,0.0
C2079,UU,,,Dine in,B 3,Bottled Water,13.0,0.0
C2092,UU,,,Dine in,B 3,Bottled Water,15.0,0.0
C2093,TD,,,Dine in,3,Bottled Water,1.0,0.0
C2094,TB,,,PARTY,CRISOL,Bottled Water,1.0,0.0
C2097,TB,,,Dine in,4,Bottled Water,2.0,0.0
C2099,TD,,,Personal Dine In Room,PDR 4,Bottled Water,1.0,0.0
C2106,TD,,,Dine in,9,Bottled Water,6.0,0.0
C2107,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2109,TD,,,Dine in,12,Bottled Water,3.0,0.0
C2115,TD,,,Garden Table,G 5,Bottled Water,2.0,0.0
C2116,SK,,,Dine in,2,Bottled Water,1.0,0.0
C2116,SK,,,Dine in,2,CAKE - N.C,1.0,0.0
C2117,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2121,Multiple,,,Dine in,B 1,Bottled Water,2.0,0.0
C2126,UU,,,Dine in,B 3,Bottled Water,12.0,0.0
C2130,SM,,,Dine in,16,Bottled Water,1.0,0.0
C2131,Multiple,,,Dine in,11,Bottled Water,2.0,0.0
C2133,Multiple,,,Dine in,4,Bottled Water,1.0,0.0
C2137,TB,,,PARTY,CRISOL,Bottled Water,4.0,0.0
