Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Summary,,,Multiple,,,3678505.0,5.0,183925.25,,,,,,
Summary,,,MK,,,1742853.0,5.0,87142.65,,,,,,
Summary,,,SM,,,1305568.0,5.0,65278.4,,,,,,
Summary,,,TB,,,652480.0,5.0,32624.0,,,,,,
Summary,,,SK,,,1399518.0,5.0,69975.9,,,,,,
Summary,,,TD,,,1407529.0,5.0,70376.45,,,,,,
Summary,,,UU,,,56800.0,5.0,2840.0,,,,,,
Summary,,,UP,,,367206.0,5.0,18360.3,,,,,,
Summary,,,SS,,,13026.0,5.0,651.3,,,,,,
Detail,2023-07-19 00:22:29+00:00,1987,Multiple,,Cash,69440.0,5.0,3472.0,,,G 2,Garden Table,"Amritsari Dal,Basmati Rice,CLEAR SOUP (VEG),Chicken Kebabs (Murg Bemisal),Dim Sum (CHICKEN),Dim Sum (PRAWNS),Dim Sum (VEG),Exotic Hot Pot Vegtable,FRESH LIME SODA,FRIED RICE (VEG),GULAB JAMUN,Lemon Coriander (VEG),MALAI KULFI,MALAYSIAN NOODLES (VEG),Manchow Soup (CHICKEN),Manchow Soup (VEG),Murg Makhanwala,Mushroom Galauti,Naan,Neer Dosa(4pc),PANEER CHILLY DRY,Paratha Plain,Peach Iced Tea,Prawns  REG,Rawas (Chinese),Rawas (Gassi),Roti,SEVEN UP,Sour & Pepper Soup (CHICKEN),Sour & Pepper Soup (VEG),Subzi Kurkure Kebab,Vegetable Gassi",
Detail,2023-07-29 23:56:25+00:00,2573,Multiple,,Cash,4960.0,5.0,248.0,,,14,Dine in,"Basmati Rice,Bhatkal Biryani (VEG),MANGO KULFI,Pompfret (600 GMS),Stir Fried Chicken Chilly & Basil",
Detail,2023-11-24 21:38:56+00:00,9889,MK,,Cash,22945.0,5.0,1147.25,,,B 3,Dine in,"Assorted Indian Breads ( 7 Types ),BURNT GARLIC RICE (VEG),Basmati Rice,CHICKEN GHEE ROAST,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Murg Lalwari),Chicken Kebabs (Patra Chicken),Chinese Prawns REG,Chinese Rawas,Coastal Pompfret,Coastal Prawns REG,Edemunchi Chicken,FUTCHI NOODLES (CHICKEN),Juices Natural,Murg Tikka Nawabi,Mushroom Galauti,Mutton Kebabs (Gilafi Sheekh),Neer Dosa(4pc),PAN FRIED NOODLES (CHICKEN),Paneer Ke Shikanje,Peshawari Kofta,Phalguni Sabzi,Plain Kulcha,Roti,Soda,Subzi Kofta Masala,Subzi Sunheri,Zafrani Chicken",
Detail,2023-07-15 23:55:39+00:00,1787,SM,,Cash,1160.0,5.0,58.0,,,PDR 2,Personal Dine In Room,"CARAMEL CUSTARD(EGG LESS),CHOCOLATE PASTRY,GULAB JAMUN,MALAI KULFI",
Detail,2023-07-11 13:28:37+00:00,1496,Multiple,,Cash,100.0,5.0,5.0,,,B 1,BAR Table,TEA,
Detail,2023-08-29 15:51:18+00:00,4568,Multiple,,Cash,10.0,5.0,0.5,,,B 1,Dine in,Bottled Water,
Detail,2023-10-30 23:59:21+00:00,8317,TB,,Cash,1135.0,5.0,56.75,,,B 3,Dine in,"Bhindi Mirch Masala,Roti",
Detail,2023-07-14 15:46:19+00:00,1650,SM,,Cash,4025.0,5.0,201.25,,,3,Dine in,"Butter Kulcha,Cheese Aur Subz Ki Sheek,Chicken Kebabs (Patra Chicken),DIET COKE,FRESH LIME SODA,Paneer Khurchan,Stir Fried Chicken Chilly & Basil",
