Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Total_Sales,Total_Discount,Percentage,Reason,Area,Table_No_,Items
Detail,2023-07-19 00:22:29+00:00,1987,Multiple,,69440.0,69440.0,100.0,,Garden Table,G 2,"Amritsari Dal,Basmati Rice,CLEAR SOUP (VEG),Chicken Kebabs (Murg Bemisal),Dim Sum (CHICKEN),Dim Sum (PRAWNS),Dim Sum (VEG),Exotic Hot Pot Vegtable,FRESH LIME SODA,FRIED RICE (VEG),GULAB JAMUN,Lemon Coriander (VEG),MALAI KULFI,MALAYSIAN NOODLES (VEG),Manchow Soup (CHICKEN),Manchow Soup (VEG),Murg Makhanwala,Mushroom Galauti,Naan,Neer Dosa(4pc),PANEER CHILLY DRY,Paratha Plain,Peach Iced Tea,Prawns  REG,Rawas (Chinese),Rawas (Gassi),Roti,SEVEN UP,Sour & Pepper Soup (CHICKEN),Sour & Pepper Soup (VEG),Subzi Kurkure Kebab,Vegetable Gassi"
Detail,2023-07-29 23:56:25+00:00,2573,Multiple,,4960.0,4960.0,100.0,,Dine in,14,"Basmati Rice,Bhatkal Biryani (VEG),MANGO KULFI,Pompfret (600 GMS),Stir Fried Chicken Chilly & Basil"
Detail,2023-11-24 21:38:56+00:00,9889,MK,,22945.0,22945.0,100.0,,Dine in,B 3,"Assorted Indian Breads ( 7 Types ),BURNT GARLIC RICE (VEG),Basmati Rice,CHICKEN GHEE ROAST,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Murg Lalwari),Chicken Kebabs (Patra Chicken),Chinese Prawns REG,Chinese Rawas,Coastal Pompfret,Coastal Prawns REG,Edemunchi Chicken,FUTCHI NOODLES (CHICKEN),Juices Natural,Murg Tikka Nawabi,Mushroom Galauti,Mutton Kebabs (Gilafi Sheekh),Neer Dosa(4pc),PAN FRIED NOODLES (CHICKEN),Paneer Ke Shikanje,Peshawari Kofta,Phalguni Sabzi,Plain Kulcha,Roti,Soda,Subzi Kofta Masala,Subzi Sunheri,Zafrani Chicken"
Detail,2023-07-15 23:55:39+00:00,1787,SM,,1160.0,1160.0,100.0,,Personal Dine In Room,PDR 2,"CARAMEL CUSTARD(EGG LESS),CHOCOLATE PASTRY,GULAB JAMUN,MALAI KULFI"
Detail,2023-07-11 13:28:37+00:00,1496,Multiple,,100.0,100.0,100.0,,BAR Table,B 1,TEA
Detail,2023-08-29 15:51:18+00:00,4568,Multiple,,10.0,10.0,100.0,,Dine in,B 1,Bottled Water
Detail,2023-10-30 23:59:21+00:00,8317,TB,,1135.0,1135.0,100.0,,Dine in,B 3,"Bhindi Mirch Masala,Roti"
Detail,2023-11-14 15:04:32+00:00,9258,MK,,33528.0,3352.8,10.0,,Garden Table,G 2,"Amritsari Dal,BUTTER GARLIC NAAN,Bottled Water,Butter Naan,Butter Paratha,Butter Roti,Ceasar Salad,Cottage Cheese With Three Peppers,Crispy Corn,DAL KHICHDI,Diwani Handi,FRESH LIME SODA,FRESH LIME WATER,HOT POT NOODLES (VEG),HOT POT RICE (VEG),Kung Pao Patato,Lemon Ice Tea,Manchow Soup (VEG),PANEER CHILLY DRY,PANEER MAKHANWALA,Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Phalguni Sabzi,SEVEN UP,TOMATO SOUP,Veg Sweet Corn Soup"
Detail,2024-02-28 22:25:46+00:00,16072,MK,,5542.5,1108.5,20.0,,Garden Table,G 2,"COFFEE,Chicken Kebabs (Chicken Angare),Chinese Prawns REG,Dum Pukht Biryani (CHICKEN),Garlic Bread,HOT POT NOODLES (PRAWNS),Steam Chicken With Stir Fried Vegetables,TEA,VEG SANDWICH"
Detail,2024-02-07 23:09:53+00:00,14742,Multiple,,18085.0,5425.5,30.0,,Dine in,30,"Amritsari Dal,Avadhi Chicken,Basmati Rice,Butter Paratha,Butter Roomali Roti,Butter Roti,CAKE HALF KG,CLEAR SOUP (CHICKEN),Ceasar Salad,Chinese Prawns (100 GMS),DIET COKE,FRESH LIME SODA,French Fries,HOT POT RICE (VEG),Kung Pao Patato,Murg Makhanwala,Neer Dosa(4pc),Pompfret (500 GMS),Pompfret (600 GMS),Reshmi Paneer,Roti,SEVEN UP,Sweet Corn Soup (CHICKEN),TOMATO SOUP"
