Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,f0_
Summary,241,,,TD,,,548.0
Summary,264,,,MK,,,491.0
Summary,259,,,SK,,,462.0
Summary,4,,,Multiple,,,32.0
Summary,17,,,TB,,,140.0
Summary,195,,,SM,,,380.0
Summary,12,,,UU,,,1.0
Summary,2,,,SS,,,
Details,,2024-10-12 14:56:19+00:00,11326,TD,,,15.0
Details,,2024-10-13 20:57:54+00:00,11482,MK,,,2.0
Details,,2024-10-15 15:16:58+00:00,11567,TD,,,10.0
Details,,2024-10-05 13:56:50+00:00,10902,TD,,,4.0
Details,,2024-10-11 13:29:21+00:00,11232,TD,,,4.0
Details,,2024-10-16 14:26:25+00:00,11627,MK,,,5.0
Details,,2024-10-01 22:04:51+00:00,10700,SK,,,7.0
Details,,2024-10-09 15:05:18+00:00,11160,MK,,,1.0
Details,,2024-10-13 23:22:44+00:00,11516,TD,,,3.0
Details,,2024-10-06 14:02:54+00:00,10984,MK,,,3.0
Details,,2024-10-15 15:13:39+00:00,11566,TD,,,5.0
Details,,2024-10-16 22:12:25+00:00,11668,TD,,,2.0
Details,,2024-10-13 22:04:09+00:00,11498,SK,,,6.0
Details,,2024-10-02 14:04:52+00:00,10730,TD,,,3.0
Details,,2024-10-15 15:25:29+00:00,3107,TD,,,2.0
Details,,2024-10-17 22:45:07+00:00,3141,Multiple,,,1.0
Details,,2024-10-17 21:05:32+00:00,11697,TB,,,25.0
Details,,2024-10-11 23:47:14+00:00,11299,TB,,,25.0
Details,,2024-10-13 15:49:33+00:00,11447,TB,,,25.0
Details,,2024-10-15 16:01:33+00:00,11570,SM,,,0.0
Details,,2024-10-13 21:36:01+00:00,11492,TD,,,4.0
Details,,2024-10-13 23:38:39+00:00,11517,TB,,,30.0
Details,,2024-10-05 00:44:44+00:00,10899,Multiple,,,2.0
Details,,2024-10-13 20:14:50+00:00,11471,TD,,,2.0
Details,,2024-10-10 22:56:49+00:00,11222,SK,,,2.0
Details,,2024-10-01 22:18:54+00:00,10703,SK,,,2.0
Details,,2024-10-02 23:59:28+00:00,10798,SK,,,3.0
Details,,2024-10-08 23:37:08+00:00,11140,SK,,,9.0
Details,,2024-10-11 21:06:07+00:00,11261,SK,,,4.0
Details,,2024-10-01 23:16:43+00:00,10712,SK,,,4.0
Details,,2024-10-05 23:56:47+00:00,10966,SK,,,5.0
Details,,2024-10-06 21:56:47+00:00,11032,SK,,,5.0
Details,,2024-10-04 23:22:44+00:00,10896,TD,,,2.0
Details,,2024-10-17 23:04:46+00:00,11714,SK,,,13.0
Details,,2024-10-17 22:20:04+00:00,11710,SK,,,3.0
Details,,2024-10-12 00:16:40+00:00,11304,SK,,,7.0
Details,,2024-10-01 21:10:34+00:00,10696,SK,,,3.0
Details,,2024-10-02 23:23:06+00:00,10796,SK,,,2.0
Details,,2024-10-15 20:51:31+00:00,11580,SK,,,8.0
Details,,2024-10-13 15:28:56+00:00,11437,SK,,,6.0
Details,,2024-10-12 22:52:47+00:00,11388,SK,,,2.0
Details,,2024-10-11 21:30:49+00:00,11270,SK,,,6.0
Details,,2024-10-15 22:07:51+00:00,11596,SK,,,3.0
Details,,2024-10-01 22:30:08+00:00,10706,SK,,,5.0
Details,,2024-10-13 15:25:35+00:00,11435,SK,,,7.0
Details,,2024-10-16 23:54:09+00:00,11681,SK,,,1.0
Details,,2024-10-11 22:58:26+00:00,11288,SK,,,3.0
Details,,2024-10-06 21:36:08+00:00,11030,SK,,,2.0
Details,,2024-10-05 23:03:12+00:00,10955,SK,,,2.0
Details,,2024-10-11 21:52:22+00:00,11275,SK,,,2.0
Details,,2024-10-16 20:57:02+00:00,11660,SK,,,3.0
Details,,2024-10-06 20:58:23+00:00,11022,SK,,,4.0
Details,,2024-10-13 15:40:01+00:00,11442,SK,,,6.0
Details,,2024-10-17 23:44:57+00:00,11721,SK,,,8.0
Details,,2024-10-12 23:03:50+00:00,11392,SK,,,3.0
Details,,2024-10-13 00:12:27+00:00,11406,SK,,,5.0
Details,,2024-10-06 21:30:04+00:00,11028,SK,,,2.0
Details,,2024-10-13 20:36:20+00:00,11475,SK,,,8.0
Details,,2024-10-01 23:25:49+00:00,10714,SK,,,2.0
Details,,2024-10-03 23:48:42+00:00,10847,SK,,,12.0
Details,,2024-10-02 00:38:02+00:00,10720,SK,,,2.0
Details,,2024-10-11 00:30:47+00:00,11230,SK,,,2.0
Details,,2024-10-10 20:32:56+00:00,11205,SK,,,2.0
Details,,2024-10-06 00:03:21+00:00,10967,SK,,,4.0
Details,,2024-10-02 23:58:34+00:00,10797,SK,,,5.0
Details,,2024-10-06 23:45:45+00:00,11052,SK,,,4.0
Details,,2024-10-12 22:08:52+00:00,11378,SK,,,2.0
Details,,2024-10-03 21:10:51+00:00,10820,SK,,,5.0
Details,,2024-10-06 00:51:33+00:00,10968,SK,,,2.0
Details,,2024-10-03 22:59:33+00:00,10840,SK,,,4.0
Details,,2024-10-18 00:14:17+00:00,11727,SK,,,2.0
Details,,2024-10-13 15:33:31+00:00,11439,SK,,,6.0
Details,,2024-10-05 21:03:19+00:00,10932,SK,,,3.0
Details,,2024-10-06 23:39:23+00:00,11050,SK,,,2.0
Details,,2024-10-11 22:07:29+00:00,11277,SK,,,2.0
Details,,2024-10-13 00:58:28+00:00,11412,SK,,,3.0
Details,,2024-10-12 22:57:36+00:00,11390,SK,,,3.0
Details,,2024-10-18 00:02:49+00:00,11723,SK,,,1.0
Details,,2024-10-08 21:43:12+00:00,11131,SK,,,2.0
Details,,2024-10-05 20:15:58+00:00,10923,SK,,,2.0
