Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,Covers
Summery,260,,,TD,,,573.0
Summery,416,,,Multiple,,,120.0
Summery,27,,,UU,,,13.0
Summery,290,,,SK,,,506.0
Summery,30,,,TB,,,265.0
Summery,199,,,SM,,,385.0
Summery,271,,,MK,,,491.0
Summery,2,,,SS,,,
Details,,2024-10-14 23:04:41+00:00,C2106,TD,,,11.0
Details,,2024-10-17 19:17:50+00:00,C2133,Multiple,,,2.0
Details,,2024-10-16 16:30:54+00:00,C2121,Multiple,,,1.0
Details,,2024-10-08 23:31:45+00:00,C2038,UU,,,1.0
Details,,2024-10-09 00:30:46+00:00,C2042,SK,,,7.0
Details,,2024-10-17 21:33:09+00:00,C2137,TB,,,25.0
Details,,2024-10-03 23:14:52+00:00,C1976,Multiple,,,2.0
Details,,2024-10-15 23:24:11+00:00,C2117,UU,,,1.0
Details,,2024-10-01 23:36:51+00:00,C1957,UU,,,1.0
Details,,2024-10-04 16:00:46+00:00,C1983,Multiple,,,2.0
Details,,2024-10-17 15:36:09+00:00,C2131,Multiple,,,2.0
Details,,2024-10-01 16:01:04+00:00,C1953,Multiple,,,2.0
Details,,2024-10-13 23:42:58+00:00,C2092,UU,,,1.0
Details,,2024-10-09 00:30:15+00:00,C2041,SK,,,1.0
Details,,2024-10-08 16:23:31+00:00,C2035,Multiple,,,1.0
Details,,2024-10-14 23:49:26+00:00,C2109,TD,,,4.0
Details,,2024-10-05 23:34:56+00:00,C2003,UU,,,1.0
Details,,2024-10-07 01:03:09+00:00,C2026,SK,,,0.0
Details,,2024-10-09 23:35:54+00:00,C2045,UU,,,1.0
Details,,2024-10-15 22:47:08+00:00,C2115,TD,,,4.0
Details,,2024-10-03 15:31:06+00:00,C1973,Multiple,,,2.0
Details,,2024-10-15 23:17:05+00:00,C2116,SK,,,2.0
Details,,2024-10-14 15:40:15+00:00,C2099,TD,,,0.0
Details,,2024-10-12 15:38:57+00:00,C2076,Multiple,,,1.0
Details,,2024-10-12 23:38:38+00:00,C2079,UU,,,1.0
Details,,2024-10-02 23:45:44+00:00,C1967,UU,,,1.0
Details,,2024-10-14 14:40:51+00:00,C2097,TB,,,3.0
Details,,2024-10-05 23:00:11+00:00,C2002,TB,,,25.0
Details,,2024-10-04 18:53:25+00:00,C1984,Multiple,,,3.0
Details,,2024-10-14 00:18:04+00:00,C2094,TB,,,25.0
Details,,2024-10-17 13:26:35+00:00,C2130,SM,,,2.0
Details,,2024-10-13 23:59:41+00:00,C2093,TD,,,4.0
Details,,2024-10-11 18:51:27+00:00,C2064,Multiple,,,1.0
Details,,2024-10-07 23:30:39+00:00,C2029,UU,,,1.0
Details,,2024-10-10 16:17:00+00:00,C2052,Multiple,,,2.0
Details,,2024-10-09 19:39:50+00:00,C2044,Multiple,,,1.0
Details,,2024-10-05 16:06:56+00:00,C2000,Multiple,,,1.0
Details,,2024-10-06 20:36:45+00:00,C2018,Multiple,,,0.0
Details,,2024-10-14 23:30:08+00:00,C2107,UU,,,1.0
Details,,2024-10-06 14:45:23+00:00,C2009,Multiple,,,2.0
Details,,2024-10-06 16:16:24+00:00,C2014,Multiple,,,1.0
Details,,2024-10-12 23:37:48+00:00,C2078,SM,,,3.0
Details,,2024-10-12 00:20:32+00:00,C2069,UU,,,1.0
Details,,2024-10-06 23:48:33+00:00,C2021,UU,,,1.0
Details,,2024-10-16 23:23:43+00:00,C2126,UU,,,1.0
Details,,2024-10-04 23:36:15+00:00,C1989,UU,,,1.0
Details,,2024-10-01 13:26:32+00:00,C1950,Multiple,,,2.0
Details,,2024-10-13 16:07:38+00:00,C2088,TB,,,25.0
Details,,2024-10-15 14:48:02+00:00,C2111,Multiple,,,4.0
Details,,2024-10-04 00:17:37+00:00,C1978,SK,,,7.0
Details,,2024-10-03 19:59:26+00:00,C1975,SK,,,1.0
Details,,2024-10-11 14:50:38+00:00,C2061,Multiple,,,1.0
Details,,2024-10-13 18:49:50+00:00,C2089,SK,,,5.0
Details,,2024-10-06 22:47:59+00:00,C2020,Multiple,,,1.0
Details,,2024-10-16 19:45:25+00:00,11647,Multiple,,,0.0
Details,,2024-10-02 19:33:25+00:00,C1964,Multiple,,,0.0
Details,,2024-10-06 20:36:44+00:00,C2017,Multiple,,,2.0
Details,,2024-10-16 19:30:00+00:00,C2123,Multiple,,,2.0
Details,,2024-10-03 00:17:41+00:00,C1970,Multiple,,,6.0
Details,,2024-10-18 00:26:24+00:00,C2139,Multiple,,,6.0
Details,,2024-10-10 00:10:46+00:00,C2047,SK,,,7.0
Details,,2024-10-12 00:39:36+00:00,C2072,TB,,,25.0
Details,,2024-10-09 16:13:17+00:00,C2043,Multiple,,,1.0
Details,,2024-10-04 16:00:28+00:00,C1982,Multiple,,,2.0
Details,,2024-10-06 14:18:35+00:00,C2008,Multiple,,,1.0
Details,,2024-10-14 19:36:22+00:00,C2103,Multiple,,,1.0
Details,,2024-10-17 19:26:20+00:00,C2135,Multiple,,,1.0
Details,,2024-10-12 14:36:29+00:00,C2074,Multiple,,,1.0
Details,,2024-10-12 00:34:44+00:00,C2071,SK,,,1.0
Details,,2024-10-12 19:34:43+00:00,11351,Multiple,,,0.0
Details,,2024-10-13 18:59:41+00:00,C2090,Multiple,,,2.0
Details,,2024-10-06 14:49:00+00:00,C2011,Multiple,,,2.0
Details,,2024-10-02 15:40:56+00:00,C1962,Multiple,,,1.0
Details,,2024-10-10 19:11:37+00:00,C2054,SK,,,1.0
Details,,2024-10-05 13:35:17+00:00,C1997,Multiple,,,1.0
Details,,2024-10-03 19:32:29+00:00,C1974,Multiple,,,1.0
Details,,2024-10-10 16:16:43+00:00,C2051,Multiple,,,1.0
Details,,2024-10-13 13:01:14+00:00,C2087,Multiple,,,6.0
Details,,2024-10-06 21:22:47+00:00,C2019,Multiple,,,1.0
Details,,2024-10-01 23:36:31+00:00,C1956,UU,,,1.0
Details,,2024-10-07 01:03:07+00:00,C2025,SK,,,4.0
Details,,2024-10-05 00:07:08+00:00,C1991,SM,,,3.0
Details,,2024-10-05 19:56:17+00:00,10920,Multiple,,,0.0
Details,,2024-10-02 19:16:08+00:00,C1963,Multiple,,,2.0
Details,,2024-10-15 23:08:48+00:00,11609,Multiple,,,0.0
Details,,2024-10-03 14:26:16+00:00,10806,Multiple,,,0.0
Details,,2024-10-02 23:44:14+00:00,C1966,Multiple,,,1.0
Details,,2024-10-12 00:19:27+00:00,C2067,Multiple,,,2.0
Details,,2024-10-02 14:56:08+00:00,C1960,TD,,,2.0
Details,,2024-10-03 15:30:52+00:00,C1972,Multiple,,,1.0
Details,,2024-10-04 19:12:57+00:00,C1986,Multiple,,,1.0
Details,,2024-10-04 00:00:57+00:00,C1977,Multiple,,,1.0
Details,,2024-10-10 19:05:25+00:00,C2053,Multiple,,,1.0
Details,,2024-10-05 19:23:53+00:00,C2001,Multiple,,,1.0
Details,,2024-10-06 19:17:59+00:00,C2016,Multiple,,,1.0
Details,,2024-10-06 01:11:11+00:00,C2007,Multiple,,,0.0
Details,,2024-10-10 23:44:39+00:00,C2057,Multiple,,,1.0
Details,,2024-10-15 00:20:15+00:00,C2110,Multiple,,,1.0
Details,,2024-10-05 15:35:55+00:00,C1999,Multiple,,,1.0
Details,,2024-10-05 00:26:22+00:00,C1994,Multiple,,,1.0
Details,,2024-10-14 23:47:36+00:00,C2108,Multiple,,,1.0
Details,,2024-10-14 15:51:14+00:00,C2100,Multiple,,,2.0
Details,,2024-10-13 00:28:47+00:00,C2084,Multiple,,,1.0
Details,,2024-10-04 23:36:29+00:00,C1990,Multiple,,,1.0
Details,,2024-10-02 23:19:12+00:00,C1965,Multiple,,,2.0
Details,,2024-10-13 00:09:22+00:00,C2083,Multiple,,,1.0
Details,,2024-10-01 15:24:07+00:00,C1952,Multiple,,,1.0
Details,,2024-10-10 23:44:10+00:00,C2055,Multiple,,,1.0
Details,,2024-10-06 23:52:29+00:00,C2022,Multiple,,,1.0
Details,,2024-10-02 23:46:01+00:00,C1968,Multiple,,,1.0
Details,,2024-10-13 00:31:43+00:00,C2086,Multiple,,,1.0
Details,,2024-10-12 00:19:53+00:00,C2068,Multiple,,,1.0
Details,,2024-10-15 16:10:18+00:00,C2114,Multiple,,,1.0
Details,,2024-10-17 00:19:55+00:00,C2127,Multiple,,,1.0
Details,,2024-10-05 23:35:18+00:00,C2004,Multiple,,,1.0
Details,,2024-10-08 15:29:05+00:00,C2034,Multiple,,,1.0
Details,,2024-10-01 23:26:24+00:00,C1955,Multiple,,,1.0
Details,,2024-10-11 17:42:15+00:00,C2063,Multiple,,,1.0
Details,,2024-10-10 15:19:04+00:00,C2050,Multiple,,,1.0
Details,,2024-10-13 00:09:08+00:00,C2082,Multiple,,,1.0
Details,,2024-10-09 00:01:15+00:00,C2039,Multiple,,,1.0
Details,,2024-10-14 00:28:20+00:00,C2095,Multiple,,,1.0
Details,,2024-10-12 15:38:42+00:00,C2075,Multiple,,,1.0
Details,,2024-10-10 23:44:25+00:00,C2056,Multiple,,,1.0
Details,,2024-10-11 14:50:54+00:00,C2062,Multiple,,,1.0
Details,,2024-10-10 14:54:51+00:00,C2049,Multiple,,,1.0
Details,,2024-10-02 15:40:21+00:00,C1961,Multiple,,,1.0
Details,,2024-10-06 14:45:52+00:00,C2010,Multiple,,,1.0
Details,,2024-10-08 14:31:02+00:00,C2032,Multiple,,,1.0
Details,,2024-10-07 14:06:54+00:00,C2027,Multiple,,,1.0
Details,,2024-10-04 14:34:49+00:00,C1981,Multiple,,,1.0
Details,,2024-10-05 14:18:35+00:00,C1998,Multiple,,,1.0
Details,,2024-10-15 14:48:25+00:00,C2112,Multiple,,,1.0
Details,,2024-10-01 14:43:45+00:00,C1951,Multiple,,,1.0
Details,,2024-10-17 19:17:23+00:00,C2132,MK,,,3.0
Details,,2024-10-12 14:36:08+00:00,C2073,Multiple,,,1.0
Details,,2024-10-16 23:12:38+00:00,C2125,SK,,,0.0
Details,,2024-10-13 20:46:00+00:00,C2091,Multiple,,,0.0
Details,,2024-10-06 19:17:44+00:00,C2015,Multiple,,,1.0
Details,,2024-10-05 00:29:01+00:00,C1996,SK,,,0.0
Details,,2024-10-17 19:28:04+00:00,C2136,SK,,,0.0
Details,,2024-10-12 23:39:02+00:00,C2080,Multiple,,,0.0
Details,,2024-10-09 23:40:28+00:00,C2046,Multiple,,,0.0
Details,,2024-10-03 00:18:01+00:00,C1971,TB,,,0.0
Details,,2024-10-11 22:03:18+00:00,C2066,Multiple,,,0.0
Details,,2024-10-16 20:36:00+00:00,C2124,SK,,,0.0
Details,,2024-10-10 23:49:39+00:00,C2058,SK,,,6.0
Details,,2024-10-08 00:17:24+00:00,C2031,Multiple,,,4.0
Details,,2024-10-06 00:49:12+00:00,C2005,SK,,,7.0
Details,,2024-10-13 00:29:09+00:00,C2085,SK,,,8.0
Details,,2024-10-12 23:39:19+00:00,C2081,Multiple,,,0.0
Details,,2024-10-08 21:36:30+00:00,C2037,Multiple,,,0.0
Details,,2024-10-06 15:07:44+00:00,C2012,Multiple,,,0.0
Details,,2024-10-17 22:02:21+00:00,C2138,Multiple,,,0.0
Details,,2024-10-14 19:52:13+00:00,C2105,Multiple,,,0.0
Details,,2024-10-04 23:21:24+00:00,C1988,Multiple,,,0.0
Details,,2024-10-14 00:43:01+00:00,C2096,SK,,,8.0
Details,,2024-10-05 00:07:30+00:00,C1993,SK,,,8.0
Details,,2024-10-15 23:50:53+00:00,C2118,SK,,,7.0
Details,,2024-10-17 00:20:23+00:00,C2129,SK,,,7.0
Details,,2024-10-07 00:16:29+00:00,C2024,SK,,,9.0
Details,,2024-10-09 00:01:29+00:00,C2040,Multiple,,,6.0
Details,,2024-10-08 20:07:46+00:00,C2036,Multiple,,,0.0
Details,,2024-10-14 15:40:14+00:00,C2098,TD,,,2.0
Details,,2024-10-07 19:42:54+00:00,C2028,Multiple,,,1.0
Details,,2024-10-12 19:18:24+00:00,C2077,Multiple,,,1.0
Details,,2024-10-16 18:59:00+00:00,C2122,TD,,,1.0
Details,,2024-10-17 19:18:06+00:00,C2134,Multiple,,,1.0
Details,,2024-10-11 19:06:23+00:00,C2065,Multiple,,,1.0
Details,,2024-10-04 18:58:49+00:00,C1985,Multiple,,,1.0
Details,,2024-10-14 19:07:26+00:00,C2102,Multiple,,,1.0
Details,,2024-10-04 19:41:35+00:00,C1987,Multiple,,,1.0
