Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Summary,,,MK,,,75357.0,5.0,3767.85,,,,,,
Summary,,,SK,,,15960.0,5.0,798.0,,,,,,
Summary,,,SM,,,22280.0,5.0,1114.0,,,,,,
Summary,,,TD,,,29560.0,5.0,1478.0,,,,,,
Detail,2024-10-06 14:02:54.000000 UTC,10984,MK,sachindra (sachindra),CARD,2225.0,5.0,111.25,,,16,Dine in,"Dim Sum (CHICKEN),FORTUNE RICE (CHICKEN),FRESH LIME SODA,Virgin Mojito",
Detail,2024-10-02 22:40:11.000000 UTC,10789,SK,vijay (vijay shetty),CARD,10135.0,5.0,506.75,,,30,Dine in,"BURNT GARLIC RICE (CHICKEN),Chicken Hunan,Chicken In Szechwan Style,Chinese Prawns (REGULAR),Dragon Roll (CHICKEN),HAKKA NOODLES (CHICKEN),Juices Fresh,Kung Pao Chicken,Virgin Toddy",
Detail,2024-10-12 22:08:52.000000 UTC,11378,SK,vijay (vijay shetty),Cash,2125.0,5.0,106.25,,,6,Dine in,"Amritsari Dal,Butter Paratha,Butter Roti,Diwani Handi,Manchow Soup (VEG),Paratha Plain,Roti",removed sc
Detail,2024-10-11 23:28:13.000000 UTC,11293,SK,sachindra (sachindra),Cash,3700.0,5.0,185.0,,,2,Dine in,"FRESH LIME SODA,MALAYSIAN NOODLES (VEG),Manchow Soup (VEG),Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Paneer Peri Peri Tikka,Veg Cheesy Roll",Sc%
Detail,2024-10-17 20:33:02.000000 UTC,3135,MK,vijay (vijay shetty),Other [AMEX],800.0,5.0,40.0,,,22,Dine in,HOUSEWINE-INDIAN WHITE,removed sc
Detail,2024-10-13 22:23:42.000000 UTC,3089,MK,vijay (vijay shetty),CARD,1200.0,5.0,60.0,,,10,Dine in,HOUSEWINE-INDIAN ROSE,removed sc
