Month,New_Category,Total_Consumption,Total_Internal_Transfer
2024-Mar,,148708.9000000002,
2024-Feb,,742710.9999999995,
2024-Jan,,541296.7999999998,
2023-Nov,,222126.30000000034,
2024-Aug,,898510.8999999956,
2024-Sep,,328465.599999997,
2023-Dec,,113080.50000000023,
2023-Aug,,9416214.699998494,
2023-Jul,,8593724.699999351,
2024-May,,530018.8999999993,
2023-Oct,,312823.09999999974,
2024-Jun,,584400.4999999964,
2023-Sep,,7061973.199999449,
2024-Jul,,397499.19999999646,
2024-Apr,,659931.2999999996,
2024-Oct,,303682.39999999857,
2023-Oct,Bar,2034446.5999999847,
2024-Sep,Bar,1853528.9000000178,
2024-Aug,Bar,2059565.4000000202,
2024-Jul,Bar,1805692.8000000124,
2023-Dec,Bar,2421837.7999999784,
2024-Mar,Bar,2164154.300000012,
2024-Apr,Bar,2130402.300000017,
2024-Jun,Bar,2027547.3000000166,
2024-Jan,Bar,2360721.1999999858,
2024-Feb,Bar,2306845.0999999903,
2024-May,Bar,2135638.100000013,
2023-Sep,Bar,227795.8999999995,
2023-Nov,Bar,2139054.699999995,
2024-Oct,Bar,1084078.2000000114,
2024-Aug,Indian,2378119.5000001155,
2023-Jul,Indian,506037.999999985,
2024-May,Indian,2241905.8000001037,
2024-Apr,Indian,1975137.1000000746,
2024-Jun,Indian,2164173.700000089,
2024-Mar,Indian,2068849.5000000836,
2024-Oct,Indian,1242548.1000000017,
2023-Sep,Indian,593153.9999999977,
2024-Feb,Indian,2139050.900000083,
2023-Nov,Indian,2401174.6000001105,
2023-Aug,Indian,550268.2999999968,
2024-Jul,Indian,1995919.5000000661,
2023-Oct,Indian,2263605.9000000954,
2024-Jan,Indian,2463192.3000001204,
2023-Dec,Indian,2412153.300000119,
2024-Sep,Indian,1881595.6000000571,
2024-Aug,Pantry,544965.3999999908,
2023-Oct,Pantry,616525.7999999846,
2024-Jan,Pantry,629411.0999999865,
2024-Oct,Pantry,237118.50000000204,
2024-Feb,Pantry,603160.0999999893,
2024-May,Pantry,602092.7999999885,
2023-Aug,Pantry,47900.50000000006,
2024-Jun,Pantry,500599.89999999193,
2024-Apr,Pantry,538263.2999999907,
2023-Nov,Pantry,627820.1999999876,
2024-Sep,Pantry,368071.69999999384,
2024-Mar,Pantry,550612.4999999909,
2023-Sep,Pantry,82554.20000000023,
2023-Jul,Pantry,37636.70000000003,
2023-Dec,Pantry,613962.8999999883,
2024-Jul,Pantry,415170.5999999946,
2023-Dec,Tandoor,2005836.6000000595,
2024-Aug,Tandoor,1797699.6000000427,
2023-Oct,Tandoor,1731070.100000049,
2024-Sep,Tandoor,1476487.7000000163,
2024-May,Tandoor,1860863.3000000452,
2024-Apr,Tandoor,1669951.0000000354,
2023-Nov,Tandoor,2004933.4000000546,
2024-Feb,Tandoor,1736183.1000000404,
2024-Jun,Tandoor,1690428.7000000363,
2024-Jul,Tandoor,1482220.700000018,
2024-Oct,Tandoor,1000360.8999999891,
2024-Jan,Tandoor,1909858.0000000475,
2023-Sep,Tandoor,99798.00000000006,
2024-Mar,Tandoor,1677961.700000035,
2024-Feb,Oriental,2611413.300000112,
2023-Dec,Oriental,3024365.9000001405,
2024-Jun,Oriental,2450753.600000088,
2024-Sep,Oriental,2215724.600000062,
2023-Sep,Oriental,184951.30000000066,
2023-Oct,Oriental,2473075.3000001153,
2024-Oct,Oriental,1475922.5999999936,
2023-Nov,Oriental,3099060.300000135,
2024-Aug,Oriental,2766577.600000108,
2024-Mar,Oriental,2330640.9000000814,
2024-Apr,Oriental,2350872.0000000778,
2024-Jul,Oriental,2375923.200000083,
2024-Jan,Oriental,2736637.3000001195,
2024-May,Oriental,2705878.500000112,
2024-Aug,South Indian,916633.099999997,
2023-Sep,South Indian,98036.5000000001,
2023-Nov,South Indian,1123496.2999999966,
2024-Feb,South Indian,1048135.8999999948,
2024-Apr,South Indian,908979.599999996,
2024-Oct,South Indian,331192.29999999923,
2024-May,South Indian,1015578.999999996,
2023-Oct,South Indian,1049337.5999999973,
2024-Jul,South Indian,875855.8999999971,
2023-Dec,South Indian,1140736.5999999992,
2024-Jan,South Indian,1168353.1000000022,
2024-Sep,South Indian,780089.9999999969,
2024-Jun,South Indian,876971.5999999966,
2024-Mar,South Indian,980373.8999999962,
