Invoice_No_,Date,Change_Log
3108,2024-05-23 23:58:01+00:00,"Order (Bill No.: F3108, Amount: 3793) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-05-23 23:58:01Order (Bill No.: F3108) total amount changed from 3793 to 3612 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-24 00:00:51"
848,2024-05-23 13:09:47+00:00,Order (Bill No.: B848) total amount changed from 319 to 456 by sachindra (sachindra. ) (Order modify comment: FHRA) (Electron Pos) - 2024-05-23 13:15:10
3062,2024-05-23 13:09:45+00:00,"Order (Bill No.: F3062, Amount: 1190) is created by sachindra (sachindra), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-05-23 13:09:45Order (Bill No.: F3062) total amount changed from 1190 to 980 by sachindra (sachindra. ) (Order modify comment: FHRA) (Electron Pos) - 2024-05-23 13:14:20"
2953,2024-05-20 21:53:49+00:00,"Order (Bill No.: F2953, Amount: 10259) is created by vijay (vijay shetty), but ownership transferred to TAPASH (TAPASH) (Electron Pos) - 2024-05-20 21:53:49Order (Bill No.: F2953) total amount changed from 10259 to 9770 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-20 21:59:33"
2910,2024-05-19 23:31:56+00:00,"Order (Bill No.: F2910, Amount: 8335) is created by vijay (vijay shetty), but ownership transferred to SAFIK (SAFIK KHAN) (Electron Pos) - 2024-05-19 23:31:56Order (Bill No.: F2910) total amount changed from 8335 to 7938 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-19 23:36:36"
2905,2024-05-19 23:13:24+00:00,"Order (Bill No.: F2905, Amount: 4901) is created by vijay (vijay shetty), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-05-19 23:13:24Order (Bill No.: F2905) total amount changed from 4901 to 4667 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-19 23:15:36"
2860,2024-05-19 19:12:16+00:00,Order (Bill No.: F2860) total amount changed from 4253 to 5056 by vijay (vijay shetty. ) (Order modify comment: vvskapu) (Electron Pos) - 2024-05-19 19:33:09
2855,2024-05-19 15:31:10+00:00,"Order (Bill No.: F2855, Amount: 1207) is created by sachindra (sachindra), but ownership transferred to TANMOY (TANMOY DEBNATH) (Electron Pos) - 2024-05-19 15:31:10Order (Bill No.: F2855) total amount changed from 1207 to 1150 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-19 15:33:04"
2849,2024-05-19 14:52:21+00:00,"Order (Bill No.: F2849, Amount: 4217) is created by sachindra (sachindra), but ownership transferred to SANDEEP (SANDEEP MORE) (Electron Pos) - 2024-05-19 14:52:21Order (Bill No.: F2849) total amount changed from 4217 to 4016 by sachindra (sachindra. ) (Order modify comment: YES) (Electron Pos) - 2024-05-19 14:54:48"
2830,2024-05-18 23:58:39+00:00,"Order (Bill No.: F2830, Amount: 24917) is created by vijay (vijay shetty), but ownership transferred to MANISH (MANISH KOTIAN) (Electron Pos) - 2024-05-18 23:58:39Order (Bill No.: F2830) total amount changed from 24917 to 23730 by vijay (vijay shetty. ) (Order modify comment: no sc) (Electron Pos) - 2024-05-19 00:07:51"
