Raw_Material,Category,Sub_Category,HSN_Code,Sap_Code,Unit,Date,Closing
Fresh Strawberry,fresh fruits,,,,Kg,2024-07-31,0.0
Ned Wine Res Sauvi Blance,,,,,BTL,2024-07-31,0.0
Cake Base Round,bakery,,,,NOS,2024-07-31,150.0
Tips,Tips,,,,NOS,2024-07-31,3.0
Idli Wada,breakfast,,,,PCS,2024-07-31,0.0
Chocolate Croissant Small,bakery,,,,PCS,2024-07-31,0.0
Aa Battery,,,,,PCS,2024-07-31,0.0
750 Ml Silver Container Lid,,,,,PCS,2024-07-31,0.0
Ness Coffee,Coffee,Coffee,0,,PKT,2024-07-31,0.0
Nescafe Sachet,Coffee,Coffee,0,,PKT,2024-07-31,4.0
Frappe Powder,Coffee,Coffee,0,,PKT,2024-07-31,13.0
Butterscotch,bakery,,,,PKT,2024-07-31,0.0
Indri Single Malt Whisky,Bar,Whisky,0,,BTL,2024-07-31,0.0
Fauconnier Liquer Triple Sec,Bar,Liquor,0,,BTL,2024-07-31,0.0
Don Angel Rare Reserve Blanco Tequila,Bar,Liquor,0,,BTL,2024-07-31,0.0
Yellow Tail Shiraz,Bar,Wine,0,,BTL,2024-07-31,0.0
Wine Zonins Pinot Grigio Friuli,Bar,Wine,0,,BTL,2024-07-31,0.0
Wine Zonin Chianti Ventiterre,Bar,Wine,0,,BTL,2024-07-31,0.0
Two Oceans Pinotage,Bar,Wine,0,,BTL,2024-07-31,0.0
The Source Sauvignon Blanc,Bar,Wine,0,,BTL,2024-07-31,0.0
The Source Grenache Rose,Bar,Wine,0,,BTL,2024-07-31,0.0
Sula Zinfandel Rose,Bar,Wine,0,,BTL,2024-07-31,0.0
Sula Sauvignon Blanc,Bar,Wine,0,,BTL,2024-07-31,0.0
Sula Satori Red Wine,Bar,Wine,0,,BTL,2024-07-31,0.0
Sula Rasa Syrah Wine,Bar,Wine,0,,BTL,2024-07-31,0.0
Sula Chenin Blanc,Bar,Wine,0,,BTL,2024-07-31,0.0
Sula Brut Cremant De Nashik,Bar,Wine,0,,BTL,2024-07-31,0.0
Sparking Mateus Rose,Bar,Wine,0,,BTL,2024-07-31,0.0
Reveilo Merlot,Bar,Wine,0,,BTL,2024-07-31,0.0
Reveilo Chardonnay,Bar,Wine,0,,BTL,2024-07-31,0.0
Reveilo Cabernet Sauvignon,Bar,Wine,0,,BTL,2024-07-31,0.0
Red La Reserve,Bar,Wine,0,,BTL,2024-07-31,0.0
Nederburg Sauvignon Blanc,Bar,Wine,0,,BTL,2024-07-31,0.0
Mateus Rose,Bar,Wine,0,,BTL,2024-07-31,0.0
Jacob S Creek Classic Chardonnay,Bar,Wine,0,,BTL,2024-07-31,0.0
Jacob S Creek Classic Caberne Shirz,Bar,Wine,0,,BTL,2024-07-31,0.0
Jacobs Creek Cabernet Shiraz,Bar,Wine,0,,BTL,2024-07-31,0.0
Grv Cab Shiraz,Bar,Wine,0,,BTL,2024-07-31,0.0
Cono Sur Pinot Noir,Bar,Wine,0,,BTL,2024-07-31,0.0
B&g Merlot Reserve Varietal,Bar,Wine,0,,BTL,2024-07-31,0.0
B & G Cab Sauvignon Reserve,Bar,Wine,0,,BTL,2024-07-31,0.0
Signature Rare Aged,Bar,Whisky,0,,BTL,2024-07-31,0.0
Signature,Bar,Whisky,0,,BTL,2024-07-31,0.0
Royal Challenge,Bar,Whisky,0,,BTL,2024-07-31,0.0
Monkey Shoulder,Bar,Whisky,0,,BTL,2024-07-31,0.0
Legacy Premium,Bar,Whisky,0,,BTL,2024-07-31,0.0
Blenders Pride,Bar,Whisky,0,,BTL,2024-07-31,0.0
Antiquity Blue,Bar,Whisky,0,,BTL,2024-07-31,0.0
Siempre Silver Tequila,Bar,Tequila,0,,BTL,2024-07-31,0.0
The Glenlivet 15 Y,Bar,Single Malt,0,,BTL,2024-07-31,0.0
The Glenlivet 12 Years,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Paul John,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Laphroaig 10 Yo,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Lagavulin16 Y.o Mlt,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Glenmorrangie,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Glenfiddich 18,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Glenfiddich 15,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Glenfiddich 12,Bar,Single Malt,0,,BTL,2024-07-31,0.0
Vat 69,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Teachers Highland Cream,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Teachers 50,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Jw Gold Reserve,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Johnnie Walker Blonde,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
J W Red Label,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
J W Double Black,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
J W Black Label,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
J & B Rare,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Chivas Regal 18 Yrs,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Chivas Regal 12 Yrs,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Black Dog Triple Gold Reserve,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Black & White,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Ballantine S Finest,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
100 Piper,Bar,Scotch Whisky,0,,BTL,2024-07-31,0.0
Old Monk Rum,Bar,Rum,0,,BTL,2024-07-31,0.0
Captain Morgan Original,Bar,Rum,0,,BTL,2024-07-31,0.0
Bacardi Reserva Ocho,Bar,Rum,0,,BTL,2024-07-31,0.0
Bacardi Limon,Bar,Rum,0,,BTL,2024-07-31,0.0
Bacardi,Bar,Rum,0,,BTL,2024-07-31,0.0
Jagermeister,Bar,Liqueur,0,,BTL,2024-07-31,0.0
Irish Whisky Jameson Triple Distilled,Bar,Liqueur,0,,BTL,2024-07-31,0.0
Campari,Bar,Liqueur,0,,BTL,2024-07-31,0.0
Bols Curacao Triple Sec,Bar,Liqueur,0,,BTL,2024-07-31,0.0
Blue Curacao,Bar,Liqueur,0,,BTL,2024-07-31,0.0
Baileys Irish Cream,Bar,Liqueur,0,,BTL,2024-07-31,0.0
Tanqueray Gin,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Smiroff Green Apple,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Smirnoff,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Monkey 47,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Ketel One,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Hendricks,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Gordons Dry,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Grey Goose Vodka,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Ciroc Vodka,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Botanist,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Bombay Sapphire,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Belvedere Vodka,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Absolut Vodka,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
The Botanist,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Mc Dowell Blue Riband Dry,Bar,Gin & Vodka,0,,BTL,2024-07-31,0.0
Martell V S,Bar,Cognac,0,,BTL,2024-07-31,0.0
Hennessy Vsop,Bar,Cognac,0,,BTL,2024-07-31,0.0
Budweiser Magnum,bar,Beer,0,,BTL,2024-07-31,0.0
Amrut Amalgam,bar,Single Malt,0,,BTL,2024-07-31,0.0
Breezer Passion,bar,,0,,BTL,2024-07-31,0.0
Morpheus Blue Xo Pr,bar,,0,,BTL,2024-07-31,0.0
Jim Beam,bar,,0,,BTL,2024-07-31,0.0
Jack Daniels,bar,,0,,BTL,2024-07-31,0.0
Bira White,bar,,0,,BTL,2024-07-31,0.0
Kingfisher Ultra,bar,,0,,BTL,2024-07-31,0.0
Kingfisher Strong,bar,,0,,BTL,2024-07-31,0.0
Kingfisher,bar,,0,,BTL,2024-07-31,0.0
Hoegaarden Belgian,bar,,0,,BTL,2024-07-31,0.0
Heineken Silver,bar,,0,,BTL,2024-07-31,0.0
Heineken,bar,,0,,BTL,2024-07-31,0.0
Corona,bar,,0,,BTL,2024-07-31,0.0
Carlsberg,bar,,0,,BTL,2024-07-31,0.0
Budweiser,bar,Beer,0,,BTL,2024-07-31,0.0
The Jura 12yrs Single Malt Scotch,bar,,,,BTL,2024-07-31,0.0
The Dalmore 12yrs Single Malt,bar,,,,BTL,2024-07-31,0.0
The Dalmore 15yrs H. Single Malt Scotch,bar,,,,BTL,2024-07-31,0.0
The Glenlivet 18yrs Single Malt Scotch,bar,,,,BTL,2024-07-31,0.0
Breezer Cranberrry,bar,,,,BTL,2024-07-31,0.0
Macallan 12 Yo Trpcsk (t),bar,,,,BTL,2024-07-31,0.0
Kingfisher Ultra Max,bar,Beer,,,BTL,2024-07-31,0.0
Macallan 15yo Double Cask,bar,Single Malt,,,BTL,2024-07-31,0.0
White Chocolate,Bakery,,0,,Kg,2024-07-31,0.0
Yellow Banana Chips,Bakery,,0,,Kg,2024-07-31,1.0
White Compound,Bakery,,0,,Kg,2024-07-31,0.0
Spicy Banana Chips (red),Bakery,,0,,Kg,2024-07-31,4.0
Dark White Compound Chips,Bakery,,0,,Kg,2024-07-31,0.0
Dark Compound,Bakery,,0,,Kg,2024-07-31,0.0
Dark Chocolate 2.5kg,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Dark Chocolate,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Custard Powder,Bakery,Food Ingredients,0,,Kg,2024-07-31,9.0
Cocoa Powder,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Choco Chips,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Bread Improver,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Bonomelli Polenta,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Blueberry Filling,Bakery,Food Ingredients,0,,Kg,2024-07-31,0.0
Biscoff Spread,Bakery,Food Ingredients,0,,JAR,2024-07-31,1.0
