invoice_no,date_orap,bill_no,amount_from,amount_to,modified_by,modify_comment,electron_pos,browser_info
1229,2024-06-15 23:28:41+00:00,B1229,1642.0,1568.0,vijay (vijay shetty. ),removed sc,2024-06-15 23:33:28+00:00,
1807,2024-05-02 22:58:15+00:00,F1807,3126.0,2977.0,sachindra,YES,2024-05-02 22:58:15+00:00,
2739,2024-09-20 22:11:38+00:00,B2739,2075.0,1980.0,vijay (vijay shetty).,removed sc,2024-09-20 22:15:35+00:00,
2905,2024-05-19 23:13:24+00:00,F2905,4901.0,4667.0,vijay,no sc,2024-05-19 23:13:24+00:00,
3821,2024-06-05 14:28:25+00:00,F3821,5383.0,5127.0,vijay,no sc,2024-06-05 14:28:25+00:00,
4308,2024-06-14 15:00:03+00:00,F4308,9476.0,9025.0,sachindra,GUEST,2024-06-14 15:00:03+00:00,
7562,2024-08-10 19:29:23+00:00,F7562,403.0,0.0,vijay (vijay shetty. ),ref.md,2024-08-10 19:56:48+00:00,
8378,2024-08-22 23:35:04+00:00,F8378,1770.0,1685.0,vijay (vijay shetty. ),removed sc,2024-08-22 23:37:32+00:00,
8705,2024-08-28 14:53:04+00:00,F8705,5722.0,5150.0,sachindra (sachindra. ),kitty,2024-08-28 14:56:59+00:00,
9209,2024-09-05 21:00:58+00:00,F9209,4322.0,4116.0,vijay (vijay shetty).,removed sc,2024-09-05 21:03:42+00:00,
10345,2024-09-25 21:49:26+00:00,F10345,5557.0,5292.0,vijay (vijay shetty).,removed sc,2024-09-25 21:52:29+00:00,
369,2024-04-07 21:44:21+00:00,F369,0.0,204.0,vijay (vijay shetty. ),vvskapu,2024-04-07 21:45:42+00:00,
836,2024-04-16 20:51:13+00:00,F836,3749.0,3570.0,vijay,no sc,2024-04-16 20:51:13+00:00,
2417,2024-05-12 14:46:06+00:00,F2417,6885.0,6557.0,sachindra,YES,2024-05-12 14:46:06+00:00,
2463,2024-05-12 21:03:55+00:00,F2463,4008.0,3817.0,vijay,no sc,2024-05-12 21:03:55+00:00,
