Restaurant_ID_z,Client_Sharing_Code_z,Identifier_z,Order_ID_z,Order_Status_z,Received_Time_z,Accepted_Time_z,Mark_Ready_Time_z,Rider_Arrival_Time_z,Picked_up_Time_z,Delivered_Time_z,Cancelled_Time_z
126543.0,5ojxvbyp,,5172672863.0,Delivered,2023-09-15 22:23:00+00:00,2023-09-15 22:23:00+00:00,2023-09-15 22:47:00+00:00,2023-09-15 22:35:00+00:00,2023-09-15 22:49:00+00:00,2023-09-15 23:07:00+00:00,
126543.0,5ojxvbyp,,5568112861.0,Delivered,2024-02-15 19:43:00+00:00,2024-02-15 19:43:00+00:00,2024-02-15 19:53:00+00:00,2024-02-15 19:52:00+00:00,2024-02-15 20:00:00+00:00,2024-02-15 20:20:00+00:00,
126543.0,5ojxvbyp,,5251345484.0,Delivered,2023-10-15 21:54:00+00:00,2023-10-15 21:54:00+00:00,2023-10-15 22:15:00+00:00,2023-10-15 21:56:00+00:00,2023-10-15 22:16:00+00:00,2023-10-15 22:37:00+00:00,
126543.0,5ojxvbyp,,5415489060.0,Delivered,2023-12-15 19:26:00+00:00,2023-12-15 19:26:00+00:00,2023-12-15 19:34:00+00:00,2023-12-15 19:37:00+00:00,2023-12-15 19:39:00+00:00,2023-12-15 19:45:00+00:00,
126543.0,5ojxvbyp,,5824149234.0,Delivered,2024-05-18 21:56:01+00:00,2024-05-18 21:56:01+00:00,2024-05-18 22:10:04+00:00,2024-05-18 22:37:37+00:00,2024-05-18 22:40:20+00:00,2024-05-18 23:11:20+00:00,
126543.0,5ojxvbyp,,5699872992.0,Delivered,2024-03-30 23:22:00+00:00,2024-03-30 23:22:00+00:00,2024-03-30 23:34:00+00:00,2024-03-30 23:42:00+00:00,2024-03-30 23:44:00+00:00,2024-03-31 00:07:00+00:00,
126543.0,5ojxvbyp,,5073139292.0,Delivered,2023-02-08 18:47:00+00:00,2023-02-08 18:47:00+00:00,2023-02-08 19:03:00+00:00,2023-02-08 18:51:00+00:00,2023-02-08 19:05:00+00:00,2023-02-08 19:22:00+00:00,
126543.0,5ojxvbyp,,5607738557.0,Delivered,2024-02-25 19:43:00+00:00,2024-02-25 19:43:00+00:00,2024-02-25 20:06:00+00:00,2024-02-25 19:58:00+00:00,2024-02-25 20:07:00+00:00,2024-02-25 20:22:00+00:00,
126543.0,5ojxvbyp,,5021856824.0,Delivered,2023-07-13 20:04:00+00:00,2023-07-13 20:04:00+00:00,2023-07-13 20:12:00+00:00,2023-07-13 20:09:00+00:00,2023-07-13 20:15:00+00:00,2023-07-13 20:26:00+00:00,
126543.0,5ojxvbyp,,5006853985.0,Delivered,2023-07-07 20:54:00+00:00,2023-07-07 20:54:00+00:00,2023-07-07 21:14:00+00:00,2023-07-07 21:22:00+00:00,2023-07-07 21:23:00+00:00,2023-07-07 21:34:00+00:00,
