KOT_No_,Price,Customer_Phone,Order_Type_year,Order_Type_month,Order_Type_day,Order_Type_hour,Status_year,Status_month,Status_day,Status_hour,Old_Value_year,Old_Value_month,Old_Value_day,Old_Value_hour,New_Value_year,New_Value_month,New_Value_day,New_Value_hour,Created_year,Created_month,Created_day,Created_hour,Complete_Duration_year,Complete_Duration_month,Complete_Duration_day,Complete_Duration_hour,Customer_Name_year,Customer_Name_month,Customer_Name_day,Customer_Name_hour,Item_Name_year,Item_Name_month,Item_Name_day,Item_Name_hour,Reason_year,Reason_month,Reason_day,Reason_hour,Bill_Print_Date_year,Bill_Print_Date_month,Bill_Print_Date_day,Bill_Print_Date_hour,Item_Modified_Date_year,Item_Modified_Date_month,Item_Modified_Date_day,Item_Modified_Date_hour,KOT_Item_Status_year,KOT_Item_Status_month,KOT_Item_Status_day,KOT_Item_Status_hour,User_year,User_month,User_day,User_hour
-0.4080414045189639,,-0.02247482679586936,,,,,,,,,,,,,,,,,2024,3,17,18,,,,,,,,,,,,,,,,,,,,,2024.0,3.0,17.0,18.0,,,,,,,,
-0.6170516654460307,,-0.024543345964948098,,,,,,,,,,,,,,,,,2024,2,29,20,,,,,,,,,,,,,,,,,,,,,2024.0,2.0,29.0,20.0,,,,,,,,
-0.689750886638054,,-0.029430368634223374,,,,,,,,,,,,,,,,,2024,3,25,20,,,,,,,,,,,,,,,,,,,,,2024.0,3.0,25.0,20.0,,,,,,,,
-1.0986840058431846,,-0.05121857488968564,,,,,,,,,,,,,,,,,2024,1,18,18,,,,,,,,,,,,,,,,,,,,,2024.0,1.0,18.0,22.0,,,,,,,,
-0.7261004972340656,,-0.02262230548256091,,,,,,,,,,,,,,,,,2024,3,22,15,,,,,,,,,,,,,,,,,,,,,2024.0,3.0,22.0,15.0,,,,,,,,
-1.3803934879622746,,-0.022625326810531757,,,,,,,,,,,,,,,,,2024,2,18,12,,,,,,,,,,,,,,,,,,,,,2024.0,2.0,18.0,12.0,,,,,,,,
-0.2626429621349175,,-0.02247877169951985,,,,,,,,,,,,,,,,,2024,2,1,21,,,,,,,,,,,,,,,,,,,,,2024.0,2.0,1.0,21.0,,,,,,,,
-1.4258305012072892,,-0.02248357699166123,,,,,,,,,,,,,,,,,2024,2,13,12,,,,,,,,,,,,,,,,,,,,,2024.0,2.0,13.0,12.0,,,,,,,,
-0.14450672769787973,,-0.022409998564395118,,,,,,,,,,,,,,,,,2024,3,27,21,,,,,,,,,,,,,,,,,,,,,2024.0,3.0,27.0,21.0,,,,,,,,
-0.08998231180386232,,-0.030857148487236034,,,,,,,,,,,,,,,,,2024,3,11,22,,,,,,,,,,,,,,,,,,,,,2024.0,3.0,11.0,22.0,,,,,,,,
-0.08089490915485942,,-0.02262293967586259,,,,,,,,,,,,,,,,,2024,3,10,16,,,,,,,,,,,,,,,,,,,,,2024.0,3.0,10.0,18.0,,,,,,,,
-1.4258305012072892,,-0.02248357699166123,,,,,,,,,,,,,,,,,2024,2,13,12,,,,,,,,,,,,,,,,,,,,,2024.0,2.0,13.0,12.0,,,,,,,,
-0.8896737449161178,,-0.023286206216314397,,,,,,,,,,,,,,,,,2024,1,10,17,,,,,,,,,,,,,,,,,,,,,2024.0,1.0,10.0,17.0,,,,,,,,
-0.7533627051810743,,-0.022623149194529832,,,,,,,,,,,,,,,,,2024,5,15,19,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,15.0,19.0,,,,,,,,
