Restaurant_ID_z,Client_Sharing_Code_z,Identifier_z,Order_ID_z,Order_Status_z,Received_Time_z,Accepted_Time_z,Mark_Ready_Time_z,Rider_Arrival_Time_z,Picked_up_Time_z,Delivered_Time_z,Cancelled_Time_z,Prep_time_in_Minutes,Delivery_time_in_Minutes
126543.0,5ojxvbyp,,6269283315.0,Delivered,2024-10-14 21:40:08+00:00,2024-10-14 21:40:16+00:00,2024-10-14 21:53:04+00:00,2024-10-14 21:56:56+00:00,2024-10-14 21:57:37+00:00,2024-10-14 22:31:35+00:00,nan,12,38
126543.0,5ojxvbyp,,6231902436.0,Delivered,2024-10-06 19:12:19+00:00,2024-10-06 19:12:21+00:00,2024-10-06 19:24:38+00:00,2024-10-06 19:36:18+00:00,2024-10-06 19:36:55+00:00,2024-10-06 20:03:39+00:00,nan,12,39
126543.0,5ojxvbyp,,6239932488.0,Delivered,2024-10-06 19:38:45+00:00,2024-10-06 19:38:45+00:00,2024-10-06 19:50:46+00:00,2024-10-06 20:03:04+00:00,2024-10-06 20:04:01+00:00,2024-10-06 20:29:50+00:00,nan,12,39
126543.0,5ojxvbyp,,6255910183.0,Delivered,2024-10-14 19:02:54+00:00,2024-10-14 19:02:55+00:00,2024-10-14 19:14:11+00:00,2024-10-14 19:21:20+00:00,2024-10-14 19:22:30+00:00,2024-10-14 20:11:38+00:00,nan,11,57
126543.0,5ojxvbyp,,6274156133.0,Delivered,2024-10-16 19:42:20+00:00,2024-10-16 19:42:21+00:00,2024-10-16 19:54:40+00:00,2024-10-16 19:57:01+00:00,2024-10-16 19:57:36+00:00,2024-10-16 20:48:12+00:00,nan,12,53
126543.0,5ojxvbyp,,6230407624.0,Delivered,2024-10-01 20:48:59+00:00,2024-10-01 20:49:00+00:00,2024-10-01 20:57:00+00:00,2024-10-01 21:04:05+00:00,2024-10-01 21:07:03+00:00,2024-10-01 21:39:52+00:00,nan,8,42
126543.0,5ojxvbyp,,6242560589.0,Delivered,2024-10-06 23:47:15+00:00,2024-10-06 23:47:16+00:00,2024-10-07 00:00:07+00:00,2024-10-06 23:51:16+00:00,2024-10-07 00:01:06+00:00,2024-10-07 00:34:31+00:00,nan,12,34
126543.0,5ojxvbyp,,6238646559.0,Delivered,2024-10-06 19:40:51+00:00,2024-10-06 19:40:52+00:00,2024-10-06 19:50:40+00:00,2024-10-06 19:57:29+00:00,2024-10-06 20:00:36+00:00,2024-10-06 21:07:52+00:00,nan,9,77
126543.0,5ojxvbyp,,6227871184.0,Delivered,2024-10-01 20:14:25+00:00,2024-10-01 20:14:26+00:00,2024-10-01 20:21:04+00:00,2024-10-01 20:35:33+00:00,2024-10-01 20:36:47+00:00,2024-10-01 21:23:12+00:00,nan,6,62
126543.0,5ojxvbyp,,6227955824.0,Delivered,2024-10-03 13:03:17+00:00,2024-10-03 13:03:18+00:00,2024-10-03 13:17:52+00:00,2024-10-03 13:14:11+00:00,2024-10-03 13:18:45+00:00,2024-10-03 13:50:16+00:00,nan,14,32
