Type,Missing_Item
Food Item,OLD MONK (DARK)
Food Item,BACARDI WHITE
Food Item,BACARDI LEMON
Food Item,DIPLOMATIC MAN TUANO
Food Item,BACARDI BLACK
Food Item,DIPLOMATIC RESERVO
Food Item,HOUSEWINE-INDIAN WHITE
Food Item,HOUSEWINE-INDIAN RED
Food Item,Reveilo Cabernet Sauvignon
Food Item,Asolo Prosecco
Food Item,HOUSEWINE-INDIAN ROSE
Food Item,HOUSEWINE-IMPORTED RED
Food Item,HOUSEWINE-IMPORTED WHITE
Food Item,Sula Chenin Blanc
Food Item,HOUSEWINE-IMPORTED ROSE
Food Item,The Black Shiraz Berton
Food Item,Sula Brut
Food Item,Yellow Tail Shiraz
Food Item,Yellow Tail Chardonnay
Food Item,Grover La Resere
Food Item,Zonin Chianti
Food Item,Nederburg Shiraz
Food Item,Sul Zinfandel Rose
Food Item,Sula Satori
Food Item,Sula Sauvignon Blanc
Food Item,Grovere Cabernet Shiraz
Food Item,Fratelli Chenin Blanc
Food Item,Reveilo Merlot
Food Item,Jacob Creek Shiraz Cabernet
Food Item,Jacob Creek Chardonnay
Food Item,Two Ocian Pinotage
Food Item,Sula Rasa Syrah
Food Item,MATEUS ROSE SPARKLING
Food Item,Fratelli Sangiovese
Food Item,Cono Sur Pinot Noir
Food Item,Manchow Soup (CHICKEN)
Food Item,Manchow Soup (VEG)
Food Item,Sour & Pepper Soup (VEG)
Food Item,CLEAR SOUP (VEG)
Food Item,Tom Kha (CHICKEN)
Food Item,SHORBA (Palak)
Food Item,Lemon Coriander (VEG)
Food Item,Sour & Pepper Soup (CHICKEN)
Food Item,Manchow Soup (Veg)
Food Item,SHORBA (Dal)
Food Item,Tom Kha (VEG)
Food Item,Shorba (Palak)
Food Item,Sweet Corn Soup (VEG)
Food Item,CLEAR SOUP (CHICKEN)
Food Item,Burnt Garlic Soup (CHICKEN)
Food Item,Sweet Corn Soup (CHICKEN)
Food Item,Burnt Garlic Soup (VEG)
Food Item,Tom Yum Soup (VEG)
Food Item,Wonton & Noodle Soup (Veg)
Food Item,Lemon Coriander (Chicken)
Food Item,Clear Soup (Chicken)
Food Item,Mustard Soup (CHICKEN)
Food Item,Lemon Coriander (Veg)
Food Item,Burnt Garlic Soup (Chicken)
Food Item,Sweet Corn Soup (Veg)
Food Item,Manchow Soup (Chicken)
Food Item,Sweet Corn Soup (Chicken)
Food Item,Mustard Soup (VEG)
Food Item,Tom Yum Soup (CHICKEN)
Food Item,Lemon Coriander (CHICKEN)
Food Item,Burnt Garlic Soup (Veg)
Food Item,Wonton & Noodle Soup (Chicken)
Food Item,Talumein Soup (CHICKEN)
Food Item,Wonton & Noodle Soup (VEG)
Food Item,Talumein Soup (VEG)
Food Item,Wonton & Noodle Soup (CHICKEN)
Food Item,Burnt Garlic Soup (veg)
Food Item,Manchow Soup (veg)
Food Item,Suimono Soup (CHICKEN)
Food Item,Clear Soup (veg)
Food Item,Funci Tongi Soup (CHICKEN)
Food Item,Funci Tongi Soup (VEG)
Food Item,Suimono Soup (VEG)
Food Item,Lemon Coriander (veg)
Food Item,Tom Yum Soup (Veg)
Food Item,Sour & Pepper Soup (Chicken)
Food Item,Tom Kha (Chicken)
Food Item,Clear Soup (Veg)
Food Item,Manchow Soup (Veg)[Online]
Food Item,Manchow Soup (SEA FOOD)
Food Item,Tom Yum Soup (SEA FOOD)
Food Item,Tom Kha (SEA FOOD)
Food Item,Sour & Pepper Soup (SEA FOOD)
Food Item,Burnt Garlic Soup (SEA FOOD)
Food Item,Tom Kha (veg)
Food Item,Sour & Pepper Soup (Veg)
Food Item,Tom Yum Soup (Chicken)
Food Item,French Fries
Food Item,COLD COFFEE
Food Item,BACARDI WHITE
Food Item,DIPLOMATIC RESERVO
Food Item,BACARDI LEMON
Food Item,OLD MONK (DARK)
Food Item,BACARDI RESERVA OCHO 8
