Raw_Material,Total_Amount,Total_Purchase_Quantity,Avg_Quantity,Standard_Deviation_Quantity
100 Piper,2388.17,1.0,1.0,
7 Up,1224.007,72.0,36.0,16.97056274847714
7 Up 750 Ml,4860.0,120.0,120.0,
8 To 9 Sauce,769.306,12.0,12.0,
A4 Size Paper,1250.0,5.0,5.0,
Aalu Bukhara (plum),504.0,1.0,1.0,
Absolut Vodka,6159.81,3.0,3.0,
After Mint M Pot,9187.5,35.0,35.0,
After Mint T One,3937.5,15.0,15.0,
Ajwain,157.5,0.5,0.5,
Almond,2128.0,2.5,0.8333333333333334,0.2886751345948129
Almond Milk,11250.0,150.0,30.0,0.0
American Corn,1924.0,26.0,1.7333333333333334,1.178174536346478
Amul Cream,19680.0,96.0,13.714285714285714,4.535573676110727
Amul Milk,28929.600000000006,384.0,29.538461538461537,9.315000309674218
Anna Kaapi,6300.0,50.0,50.0,
Appam Rice,3120.0,60.0,30.0,0.0
Apple,5310.0,29.5,1.9666666666666666,0.6113996432854077
Apple Juice,546.874,6.0,6.0,
Aquafina Water,14500.8,1200.0,600.0,0.0
Aquafina Water 500 Ml,6240.0,960.0,480.0,0.0
Aromatic Powder,4435.656,24.0,12.0,0.0
Asparagus,1300.0,2.5,0.625,0.25
Asparagus Imp,900.0,1.0,0.5,0.0
Assam Tea,799.0,1.0,1.0,
Atta,12420.0,270.0,90.0,30.0
Avocado Imp,1254.0,1.6,0.5333333333333333,0.05773502691896257
Avocado Ind,450.0,0.6,0.6,
Baby Corn,3276.0,26.0,1.625,0.8660254037844386
Baby Potato,720.0,15.0,1.3636363636363638,0.504524979109513
Baby Spinach,190.0,1.3,0.6499999999999999,0.49497474683058323
Bacardi,4240.86,3.0,3.0,
Badi Sunf,483.0,2.0,2.0,
Bajra,138.0,3.0,3.0,
Ballantine S Finest,2057.82,1.0,1.0,
Bamboo Shoots,1254.018,12.0,6.0,0.0
Banana Leaf,2440.0,305.0,17.941176470588232,6.138715136688766
Banana Raw,56.0,1.0,1.0,
Basmati Rice,18600.0,150.0,50.0,17.320508075688775
Bean Sprouts,315.0,2.5,0.2777777777777778,0.08333333333333333
Beetroots,491.5,14.5,1.2083333333333333,0.8106768589869638
Bell Papper Yellow,3920.0,28.0,1.6470588235294117,0.8387994747396598
Bell Pepper Red,4165.0,29.75,1.75,0.7756046028744286
Besan,1280.0,10.0,10.0,
Bhavnagri Chilly,560.0,4.0,1.0,0.408248290463863
Biscoff Biscut 250 Gm,1943.481,8.0,4.0,1.4142135623730951
Biscoff Spread,1241.832,3.0,3.0,
Bisleri 1 Ltr,11220.0,1020.0,340.0,227.15633383201094
Bisleri 200ml,9900.005000000001,2160.0,1080.0,169.7056274847714
Bisleri 250 Ml,44139.991,9216.0,1152.0,736.0496877637697
Black & White,7111.23,3.0,3.0,
Black Beans Seed,616.0,1.0,1.0,
Black Chana,840.0,8.0,4.0,1.4142135623730951
Black Coffee Cup 450 Ml,2802.5,500.0,500.0,
Black Dal,3960.0,30.0,10.0,5.0
Black Elaichi,498.75,0.25,0.25,
Black Fungus,1224.4,1.0,1.0,
Black Pepper Whole,462.0,0.5,0.5,
Black Salt Powder,192.0,4.0,2.0,1.4142135623730951
Blue Bird Maida,359.1,6.0,6.0,
Blue Curacao Syrup,789.42,1.0,1.0,
Blueberry Filling,1923.095,5.0,5.0,
Bombay Sapphire,2716.19,1.0,1.0,
Bombil,1695.0,11.3,3.766666666666667,1.703917055884275
Boondi,450.0,1.5,0.75,0.3535533905932738
Bor Chilli,735.0,1.0,1.0,
Box File,320.0,4.0,4.0,
Bread Crumbs Penko,2836.567,23.0,4.6,1.9493588689617931
Bread Improver,570.0,2.0,2.0,
Bread Slice,181.0,3.0,1.5,0.7071067811865476
Brinjal Big,1040.0,13.0,2.1666666666666665,0.408248290463863
Broccoli,9165.0,47.0,2.7647058823529416,1.2638933778559942
Budweiser,9533.088,72.0,72.0,
Budweiser Magnum,6692.64,48.0,48.0,
Butter Amul,43200.0,160.0,40.0,0.0
Butter Croissant Small,6037.5,250.0,83.33333333333333,28.867513459481287
Butter Scotch Ice Cream,650.248,4.0,4.0,
Cabbage,2128.0,66.5,3.911764705882353,1.3719886811400708
Capsico Sauce,1374.24,18.0,9.0,4.242640687119285
Capsicum,4758.0,91.5,5.382352941176471,2.080635508119348
Caramel Syrup,4736.5199999999995,6.0,3.0,1.4142135623730951
Carlsberg,3241.488,24.0,24.0,
Carrots,8740.0,218.5,12.852941176470589,4.260152234231017
Castor Sugar,1890.0,15.0,15.0,
Cauliflower,2244.0,51.0,3.0,2.256933760658473
Caustic Soda,1298.0,11.0,5.5,0.7071067811865476
Ceiling Broom,400.0,4.0,4.0,
Celery Leaves,1350.0,11.25,0.703125,0.3057606634826222
Chana Dal,2160.0,18.0,6.0,3.605551275463989
Chapati For Staff,25025.0,4550.0,267.6470588235294,24.62960915359445
Char Magaz,13482.0,22.0,7.333333333333333,1.1547005383792517
Chat Masala,5512.5,70.0,23.333333333333332,5.773502691896258
Chawli Dal,1200.0,10.0,5.0,0.0
Check Duster,504.0,48.0,16.0,6.928203230275509
Cheese Amul,28600.320000000003,56.0,9.333333333333334,4.1311822359545785
Cheese Amul Slice,1216.32,3.0,1.5,0.7071067811865476
Cheese Mascarpone,628.066,0.8,0.8,
Cheese Mozzarella,6351.52,13.0,4.333333333333333,1.5275252316519468
Cheesling,6000.0,6.0,2.0,0.0
Cherry Tomato,170.10000000000002,1.35,0.33749999999999997,0.11086778913041725
Chicken Breast Bonless,29700.0,99.0,7.615384615384615,3.6637517551107255
Chicken Broiler,14634.0,81.30000000000001,40.650000000000006,0.07071067811865576
Chicken Broth Powder,979.98,4.0,4.0,
Chicken Carcass (haddi),740.0,37.0,6.166666666666667,2.9944392908634274
Chicken Leg Bonless,46500.0,155.0,10.333333333333334,5.122313465427046
Chicken Masala,812.6999999999999,9.0,4.5,2.1213203435596424
Chicken Seasoning Powder,952.0,2.0,2.0,
Chicken Supreme,12400.0,40.0,3.3333333333333335,1.497472618255253
Chicken Tandoori,3960.0,16.5,1.8333333333333335,0.3122498999199198
Chilli Flakes,349.996,1.0,1.0,
Chilli Pickle,1500.0,10.0,10.0,
Chilli Sauce,641.626,12.0,12.0,
China Grass,329.998,6.0,6.0,
Chinese Cabbage,1740.0,14.5,1.1153846153846154,0.5828752780343233
