Raw_Material,Vendor,First_Order_Date
Bisleri 200ml,"Bisleri International Pvt Ltd,Bisleri International Pvt Ltd",2024-10-17
Jacobs Creek Cabernet Shiraz,MARDI GRAS SPIRITS,2024-10-16
Singleton,Matergasti Agencies,2024-10-16
Yellow Tail Chardonnay,Candy Wines & Stores,2024-10-16
Yellow Banana Chips Standup Pouches,The Coffee Company,2024-10-15
Spicy Banana Chips Standup Pouches,The Coffee Company,2024-10-15
Biscoff Biscut 250 Gm,"Cash Exps Store,Zomato Hyperpure Pvt.Ltd.Mumbai",2024-10-12
Rigatoni Pasta,Zomato Hyperpure Pvt.Ltd.Mumbai,2024-10-11
Olives Black Slice Imp,Zomato Hyperpure Pvt.Ltd.Mumbai,2024-10-11
Bisleri 1 Ltr,"Bisleri International Pvt Ltd,Bisleri International Pvt Ltd,Bisleri International Pvt Ltd",2024-10-04
Singapore Laksa Paste 190g,Zomato Hyperpure Pvt.Ltd.Mumbai,2024-09-29
Youki Sauce 1kg,Zomato Hyperpure Pvt.Ltd.Mumbai,2024-09-29
Miso Paste Light,Zomato Hyperpure Pvt.Ltd.Mumbai,2024-09-28
Dijon Mustard,Zomato Hyperpure Pvt.Ltd.Mumbai,2024-09-27
Modak Box,Harisiddhi Rajhu Patel,2024-09-25
Pencil,Raj Stationary & Xerox,2024-09-24
