Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
8 To 9 Sauce,BTL,18.0,0.16,17.84,99.1111111111111
Aalu Bukhara (plum),Kg,2.0,0.56,1.44,72.0
Ajwain,Kg,0.5,0.02,0.48,96.0
American Corn,Kg,47.5,41.35999999999998,6.140000000000022,12.92631578947373
Amul Cream,PKT,147.0,90.73400000000049,56.26599999999951,38.276190476190145
Appam Rice,Kg,90.0,18.40000000000001,71.6,79.55555555555554
Apple,Kg,52.300000000000004,0.2,52.1,99.61759082217972
Aromatic Powder,PKT,48.0,5.236000000000004,42.763999999999996,89.09166666666665
Asparagus,Kg,5.0,1.6700000000000006,3.329999999999999,66.59999999999998
Atta,Kg,480.0,72.09999999999977,407.9000000000002,84.9791666666667
Baby Corn,Kg,44.0,10.730000000000004,33.269999999999996,75.61363636363635
Baby Potato,Kg,21.0,9.5,11.5,54.761904761904766
Badi Sunf,Kg,2.0,0.094,1.906,95.3
Baking Powder,PKT,2.0,0.0375,1.9625,98.125
Banana Leaf,PCS,570.0,11.0,559.0,98.0701754385965
Basmati Rice,Kg,270.0,112.99999999999999,157.0,58.14814814814815
Bean Sprouts,Kg,5.0,0.8500000000000001,4.15,83.0
Beetroots,Kg,22.5,3.5,19.0,84.44444444444444
Bell Papper Yellow,Kg,50.0,13.200000000000003,36.8,73.6
Bell Pepper Red,Kg,51.75,13.200000000000001,38.55,74.4927536231884
Besan,Kg,20.0,3.25,16.75,83.75
Bhavnagri Chilly,Kg,5.0,3.200000000000001,1.799999999999999,35.99999999999998
Black Beans Seed,Kg,1.0,0.021,0.979,97.89999999999999
Black Fungus,Kg,1.0,0.16,0.84,84.0
Black Pepper Whole,Kg,1.0,1.8370000000000004,-0.8370000000000004,-83.70000000000005
Black Till,Kg,0.25,0.008,0.242,96.8
Bombil,Kg,18.0,1.0,17.0,94.44444444444444
Boondi,Kg,2.0,0.15999999999999998,1.84,92.0
Bread Crumbs Penko,Kg,38.0,5.1000000000000005,32.9,86.57894736842104
Bread Slice,PKT,8.0,35.146,-27.146,-339.325
Broccoli,Kg,78.5,17.329999999999995,61.17,77.92356687898089
Butter Amul,PKT,280.0,43.673999999999715,236.32600000000028,84.40214285714296
