Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Frappe Powder,Thursday,PKT,39176.0,40.0,24.0,16.0,66.67
Staff Rice,Wednesday,Kg,36000.0,150.0,172.5,-22.5,-13.04
Madagascar Chocolate,Tuesday,PKT,34367.5,1.6666666666666667,1.4285714285714286,0.23809523809523814,16.67
Basmati Rice,Wednesday,Kg,33480.0,54.0,62.5,-8.5,-13.6
Malai Paneer,Sunday,Kg,32860.0,15.142857142857142,10.782608695652174,4.3602484472049685,40.44
Kaju Tukda,Thursday,Kg,30555.0,15.0,12.0,3.0,25.0
Frappe Powder,Saturday,PKT,30361.399999999998,15.5,24.0,-8.5,-35.42
Kaju Tukda,Saturday,Kg,26334.0,13.5,8.0,5.5,68.75
Peel Garlic,Thursday,Kg,26280.0,10.428571428571429,12.200000000000001,-1.7714285714285722,-14.52
Bisleri 250 Ml,Friday,BTL,24899.998,1260.0,1056.0,204.0,19.32
Pomfret,Sunday,Kg,23375.0,4.675000000000001,8.545454545454545,-3.8704545454545443,-45.29
Madagascar Chocolate,Friday,PKT,20620.5,1.0,2.0,-1.0,-50.0
Madagascar Chocolate,Wednesday,PKT,20620.5,1.5,2.0,-0.5,-25.0
Mutton Big Raan,Thursday,Kg,19560.0,6.5200000000000005,7.275,-0.7549999999999999,-10.38
Pomfret,Friday,Kg,18625.0,7.449999999999999,5.9,1.549999999999999,26.27
Mutton Big Raan,Sunday,Kg,18060.0,10.033333333333333,8.82,1.213333333333333,13.76
Chicken Leg Bonless,Thursday,Kg,18000.0,12.0,10.4,1.5999999999999996,15.38
Onion,Wednesday,Kg,17328.0,56.2,51.07692307692308,5.123076923076923,10.03
Refind Oil,Wednesday,LTR,17253.0,41.333333333333336,50.0,-8.666666666666664,-17.33
Frappe Powder,Wednesday,PKT,16649.8,17.0,26.75,-9.75,-36.45
Chicken Leg Bonless,Saturday,Kg,16500.0,13.75,11.230769230769232,2.5192307692307683,22.43
Malai Paneer,Wednesday,Kg,16120.0,8.666666666666666,7.285714285714284,1.3809523809523823,18.95
Bisleri 250 Ml,Thursday,BTL,15999.994,1680.0,1000.0,680.0,68.0
Mutton Big Raan,Monday,Kg,15960.0,6.65,7.84,-1.1899999999999995,-15.18
Kaju Tukda,Wednesday,Kg,15907.5,15.0,13.500000000000002,1.4999999999999982,11.11
Onion,Thursday,Kg,15434.0,50.4,43.57142857142857,6.828571428571429,15.67
Kashmiri Chilli,Thursday,Kg,15246.0,16.5,13.666666666666666,2.833333333333334,20.73
Chicken Leg Bonless,Sunday,Kg,15000.0,16.666666666666668,14.23076923076923,2.435897435897438,17.12
Onion,Sunday,Kg,14855.0,59.75,53.30769230769231,6.442307692307693,12.09
