Item_Name_k,Preparation_Time_Taken_Mins_k
nan,
Jacobs Creek Chardonnay,
Murgh -Ka-Salan,
Dudhi Halwa,0.05
THUMS UP,0.25
ICE CREAM,2.2
Papad Roasted,2.32
Mineral Water,3.086666666666666
Masala Papad,4.7266666666666666
Khichiya Masala Papad,5.56
Szechwan Fried Rice (veg),6.13
Dal Khichdi,7.05
SAMBUCA,7.07
"Mint, Carrot & Tomato Ginger Soups",7.3066666666666666
Chilli Baked Nachos,7.6166666666666663
Fragrance Rice (CHICKEN),8.98
Veg Bhatkal Biryani,9.17
Mix Vegetable Raita,9.27
Fresh Lime Water,9.37
Fresh Lime Soda,9.66909090909091
Talumein Soup (Chicken),9.82
Futchi Noodles (CHICKEN),9.9866666666666664
Chicken Clear Soup (Veg),10.1
Fortune Noodles (VEG),10.13
Schezwan Fried Rice (VEG),10.15
Burnt Garlic Rice (CHICKEN),10.4
Lemon Coriander (veg),10.48
1360,11.08
Spicy Lime Noodles (VEG),11.37
Spinach Cheese Drop,11.399999999999999
Clear Soup (Chicken),11.65
Pizza Margharita,11.72
Tandoori Bhare Aloo,11.88
Lassi,12.08
Piyush,12.08
2500,12.15
Coastal Prawns (150 GMS),12.58
Murgh Pudhina Masala,12.758333333333333
Chicken Kolkata Biryani,12.98
Shahi Gulab Jamun,13.07
Lamb Kolkata Biryani,13.2
Veg Kolkata Biryani,13.58
Schezwan Noodles (Veg),13.849999999999998
Burnt Garlic Soup (veg),13.896666666666667
Paneer Tikka Lal Mirch,13.9
Chicken Clear Soup (Chicken),14.198749999999999
Kolkata Biryani (Veg),14.2
Bhatkal Biryani (Mutton),14.268333333333334
Mumbai Masala Grill Sandwich,14.28
Tom Yum Soup (Chicken),14.292857142857143
Sour & Pepper Soup (Chicken),14.34
Brocolli Almond Soups,14.434999999999999
Gadbad,14.605
Futchi Noodles (Chicken),14.62
Dim Sum (veg),14.63
Mili Juli Handi,14.675
Fortune Rice (CHICKEN),14.748750000000001
Tom Yum Soup (Veg),14.822857142857142
Chicken Clear Soup (CHICKEN),14.835
Mirch Pudina Paneer Tikka,14.92
Clear Soup (veg),14.925
Sweet Corn Soup (Veg),14.9675
Lamb Bhatkal Biryani,15.14
Pesto Pasta,15.2
Cheese Garlic Toast,15.243333333333332
Burnt Garlic Soup (Veg),15.245454545454548
Wonton & Noodle Soup (Veg),15.270999999999999
