Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Total_Sales,Total_Discount,Percentage,Reason,Area,Table_No_,Items
Detail,2024-10-15 15:16:58+00:00,11567,TD,vijay (vijay shetty),10395.0,1039.5,10.0,kitty,Dine in,15,"BUTTER SCOTCH ICE CREAM,Burnt Garlic Soup (VEG),CLEAR SOUP (VEG),DOODHI HALWA,Dingri Lasooni,FRESH LIME SODA,MALAI KULFI,Paneer Ke Shikanje,Paratha Stuffed,SEVEN UP,Subzi Kurkure Kebab,Sweet Corn Soup (VEG),TOMATO SOUP"
Detail,2024-10-16 14:26:25+00:00,11627,MK,sachindra (sachindra),4810.0,721.8999999999999,15.008316008316005,KITTY,Dine in,15,"BROWNIE SUNDAE,Butter Paratha,CREAM CARAMEL,Crispy Spinach Paneer,Hara Bhara Kabab,MALAI KULFI,Murg Tikka Nawabi,Paratha Plain,Subzi Lahori"
Detail,2024-10-12 20:06:53+00:00,11358,SK,vijay (vijay shetty),3360.0,1008.0,30.0,fhrai1706,Dine in,12,"Butter Paratha,CHICKEN TIKKA (Pahadi),Juices Fresh,Kung Pao Patato,Murg Makhanwala,Roti,SINGLE TALL CAKE SUNDAE"
Detail,2024-10-16 23:02:19+00:00,11674,SK,sachindra (sachindra),14665.0,4399.5,30.0,FHRA/2526,Dine in,30,"Appam (2pc),Butter Roomali Roti,Chicken Kebabs (Chicken Angare),Chinese Prawns (REGULAR),Crispy Spinach Chicken,Crispy Spinach Paneer,DIET COKE,Dim Sum (CHICKEN),FRESH LIME SODA,FUTCHI RICE (VEG),Juices Natural,Kung Pao Chicken,MUTTON ROGAN JOSH,Murg Makhanwala,Mutton Kebabs (Gilafi Sheekh),Papad Masala,Roomali Roti,Roti,Subzi Kurkure Kebab,THUMPS UP,Veg Cheesy Roll"
Detail,2024-10-03 00:21:29+00:00,10801,SK,vijay (vijay shetty),10610.0,3183.0,30.0,,Dine in,9,"CLEAR SOUP (VEG),Chicken Kebabs (Murg Rusali),Dingri Lasooni,FUTCHI RICE (CHICKEN),Mist Fantsy,PANEER MAKHANWALA,Peach Satin,Pompfret (500 GMS),Roti,Stir Fried Chicken Chilly & Basil,Virgin Mojito"
Detail,2024-10-03 21:49:25+00:00,2922,SK,vijay (vijay shetty),1980.0,297.2,15.01010101010101,fhrai2660,Dine in,6,"KINGFISHER ULTRA,Sangria (INDIAN)"
Detail,2024-10-08 23:16:26+00:00,11139,SK,sachindra (sachindra),3900.0,1170.0,30.0,FHRA/1167,Dine in,5,"Chicken Kebabs (Chicken Reshmi),Roast Lamb In Black Peper,Tandoori Pompfret (500 GMS)"
Detail,2024-10-13 00:42:33+00:00,11411,SK,vijay (vijay shetty),495.0,148.5,30.0,,Dine in,6,Manchow Soup (SEA FOOD)
Detail,2024-10-06 00:51:33+00:00,10968,SK,vijay (vijay shetty),1955.0,586.5,30.0,,Dine in,2,"Brocoli,Babycorn Mushroom Sizzle Chilly,Dum Pukht Biryani (VEG),Manchow Soup (VEG)"
Detail,2024-10-02 15:20:13+00:00,10743,TB,vijay (vijay shetty),12530.0,3759.0,30.0,kunal gandhi,Personal Dine In Room,PDR 3,"Amritsari Dal,Butter Naan,Butter Paratha,Cheese & Garlic Naan,Chicken Kebabs (Chicken Sheekh),Chilly Crispy Patato,Dim Sum (VEG),Dingri Lasooni,FRESH LIME SODA,French Fries,Juices Fresh,Kokum Rus,Lemon Fizz,Ludhiyani Tangdi,Mutton Kebabs (Boti E Gulshan),Neer Dosa(4pc),Paneer Ke Shikanje,Paneer Khurchan,Roti,Stir Fried Chicken Chilly & Basil,Vegetable Gassi"
