Date,Item_Name,Qty_,Timestamp,Raw_Material,Unit,Qty,converted_qty,Purchase_Unit,Consumption_Unit,Conversion_Qty
2023-10-19,TEA,3.0,2023-10-19 22:25:34+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-06-05,TEA,2.0,2024-06-05 19:09:37+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-12-07,TEA,1.0,2023-12-07 13:03:27+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-10,TEA,1.0,2024-05-10 12:54:19+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-23,TEA,1.0,2024-05-23 18:14:26+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-02-03,TEA,1.0,2024-02-04 00:06:55+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-04-29,TEA,3.0,2024-04-29 19:24:22+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-07,TEA,1.0,2024-05-07 18:17:38+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-22,TEA,1.0,2024-03-22 13:54:14+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-01-16,TEA,1.0,2024-01-16 11:58:03+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-04-26,TEA,1.0,2024-04-26 19:14:46+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-04-03,TEA,1.0,2024-04-03 20:46:03+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-14,TEA,1.0,2024-05-14 18:40:55+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-16,TEA,1.0,2024-03-16 18:25:26+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-06-01,TEA,1.0,2024-06-01 19:31:59+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-09-20,TEA,0.5,2023-09-20 23:44:50+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-15,TEA,1.0,2024-03-15 17:58:47+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-11-29,TEA,1.0,2023-11-29 15:50:24+00:00,Sugar,GM,15.0,0.015,Kg,GM,1000
