Date,Item_Name,Qty_,Timestamp,Category,Raw_Material,Unit,Qty,converted_qty,Purchase_Unit,Consumption_Unit,Conversion_Qty
2024-09-10,TEA,1.0,2024-09-10 22:50:58+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-23,TEA,1.0,2024-05-23 18:14:26+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-01-10,TEA,1.0,2024-01-10 16:06:54+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-16,TEA,1.0,2024-07-16 18:22:48+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-06-30,TEA,1.0,2024-06-30 19:26:20+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-04-03,TEA,1.0,2024-04-03 20:46:03+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-03,TEA,1.0,2024-05-03 18:44:04+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-07,TEA,1.0,2024-05-07 14:43:51+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-10,TEA,1.0,2024-07-10 23:47:08+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-25,TEA,1.0,2024-07-25 18:31:22+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-12-23,TEA,1.0,2023-12-23 12:38:39+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-13,TEA,1.0,2024-03-13 21:19:16+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-08-22,TEA,2.0,2024-08-22 22:37:50+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-07-20,TEA,4.0,2024-07-20 18:53:08+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2023-09-23,TEA,2.0,2023-09-23 15:06:25+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-05-22,TEA,1.0,2024-05-22 14:35:26+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-06-30,TEA,1.0,2024-07-01 01:13:35+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-18,TEA,2.0,2024-03-18 19:10:31+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
2024-03-22,TEA,1.0,2024-03-22 13:54:14+00:00,PANTRY,Sugar,GM,15.0,0.015,Kg,GM,1000
