string_field_0,string_field_1
TEA,PANTRY
COFFEE,PANTRY
MILK SHAKE,PANTRY
OMELETTE,PANTRY
OMELETTE SANDWICH,PANTRY
EGG BHURJEE,PANTRY
VEG SANDWICH,PANTRY
CHICKEN GRILLED SANDWICH,PANTRY
LASSI,PANTRY
MASALA CHAAS,PANTRY
French Fries,PANTRY
Cheese Garlic Bread,PANTRY
Garlic Bread,PANTRY
BACARDI ANEJO 4 YEARS,BAR RUM
BACARDI RESERVA OCHO 8,BAR RUM
DIPLOMATIC RESERVO,BAR RUM
DIPLOMATIC MAN TUANO,BAR RUM
BACARDI WHITE,BAR RUM
CAPTAIN MORGAN (BLACK),BAR RUM
OLD MONK (DARK),BAR RUM
BACARDI BLACK,BAR RUM
BACARDI LEMON,BAR RUM
Ashanti,BAR RUM
Mateus Rose Spraakling,BAR WINE
Asolo Prosecco,BAR WINE
Mateus Rose,BAR WINE
Nederburg Sauvignon Blanc,BAR WINE
Zonin Pinot Grigio Friuli Doc,BAR WINE
Yellow Tail Chardonnay,BAR WINE
Two Ocean Chardonnay,BAR WINE
Jacob Creek Chardonnay,BAR WINE
B And G MERLOT,BAR WINE
B And G Cabernet Sauvignon,BAR WINE
Nederburg Shiraz,BAR WINE
Zonin Chianti,BAR WINE
Yellow Tail Shiraz,BAR WINE
Two Ocean Pinotage,BAR WINE
Jacob Creek Shiraz Cabernet,BAR WINE
Sula Brut,BAR WINE
Grover La Resere,BAR WINE
Grover Cabernet Shiraz,BAR WINE
Sula Rasa Syrah,BAR WINE
Sula Satori,BAR WINE
Reveilo Merlot,BAR WINE
Reveilo Cabernet Sauvignon,BAR WINE
Fratelli Sangiovese,BAR WINE
The Source Sauvignon Blanc,BAR WINE
Sula Chenin Blanc,BAR WINE
Sula Sauvignon Blanc,BAR WINE
Reveilo Chardonnay,BAR WINE
Fratelli Chenin Blanc,BAR WINE
Fratelli Sauvignon Blanc,BAR WINE
Grover Sauvignon Blanc,BAR WINE
Sula Zinfandel Rose,BAR WINE
The Source Grenache Rose,BAR WINE
Cono Sur Pinot Noir,BAR WINE
MATEUS ROSE SPARKLING,BAR WINE
PAMPAS DEL SUR RESERVE MALBEC,BAR WINE
The Black Shiraz Berton,BAR WINE
HOUSEWINE-IMPORTED ROSE,BAR WINE
HOUSEWINE-IMPORTED WHITE,BAR WINE
HOUSEWINE-IMPORTED RED,BAR WINE
HOUSEWINE-INDIAN ROSE,BAR WINE
HOUSEWINE-INDIAN WHITE,BAR WINE
HOUSEWINE-INDIAN RED,BAR WINE
Beer One + One,BAR OTHERS
Beer Two + One,BAR OTHERS
Beer Three + One,BAR OTHERS
P D R Alcohol,BAR OTHERS
1500,Party Menu
1800,Party Menu
2500,Party Menu
1200,Party Menu
1600,Party Menu
Pdr,Party Menu
1900,Party Menu
1360,Party Menu
2000,Party Menu
907,Party Menu
1700,Party Menu
Blue Sea,BAR MOCKTAIL
Shirely Temple,BAR MOCKTAIL
Virgin Colada,BAR MOCKTAIL
Fruit Punch,BAR MOCKTAIL
Mist Fantsy,BAR MOCKTAIL
Spice Guava,BAR MOCKTAIL
Alaska,BAR MOCKTAIL
Lemon Fizz,BAR MOCKTAIL
Peach Satin,BAR MOCKTAIL
Ginger Bliss,BAR MOCKTAIL
Virgin Daiquiri,BAR MOCKTAIL
Virgin Margarita,BAR MOCKTAIL
Virgin Mojito,BAR MOCKTAIL
Virgin Toddy,BAR MOCKTAIL
Virgin Mary,BAR MOCKTAIL
Red Bull,BAR BEVERAGES
Juices Natural,BAR BEVERAGES
Fresh Lime,BAR BEVERAGES
Ginger Ale,BAR BEVERAGES
Lemon Ice Tea,BAR BEVERAGES
Tonic Water,BAR BEVERAGES
Perrier Sparkling Water 750 ML,BAR BEVERAGES
Perrier Sparkling,BAR BEVERAGES
THUMPS UP,BAR BEVERAGES
DIET COKE,BAR BEVERAGES
COLD COFFEE,BAR BEVERAGES
GREEN TEA,BAR BEVERAGES
JASMINE TEA,BAR BEVERAGES
FRESH LIME SODA,BAR BEVERAGES
FRESH LIME WATER,BAR BEVERAGES
SEVEN UP,BAR BEVERAGES
PEPSI,BAR BEVERAGES
Peach Iced Tea,BAR BEVERAGES
Soda,Complementary
Bottled Water,Complementary
Bar Snacks,Complementary
CAKE - N.c,Complementary
Sweet Corn Soup,ORIENTAL SOUPS
Tom Yum Soup,ORIENTAL SOUPS
Sour & Pepper Soup,ORIENTAL SOUPS
Talumein Soup,ORIENTAL SOUPS
Wonton & Noodle Soup,ORIENTAL SOUPS
Manchow Soup,ORIENTAL SOUPS
Tom Kha Soup,ORIENTAL SOUPS
Suimono Soup,ORIENTAL SOUPS
Lemon Coriander Soup,ORIENTAL SOUPS
Burnt Garlic Soup,ORIENTAL SOUPS
Funci Tongi Soup,ORIENTAL SOUPS
Mustard Soup,ORIENTAL SOUPS
Prawns Tom Yum Soup,ORIENTAL SOUPS
Green Pepper Crab Soup,ORIENTAL SOUPS
Seafood Creamy Corn Soup,ORIENTAL SOUPS
Seafood Combo Soup,ORIENTAL SOUPS
Spicy Crab Soup,ORIENTAL SOUPS
Malysian Soup,ORIENTAL SOUPS
Prawns Tom Kha Soup,ORIENTAL SOUPS
Seafood Suimono Soup,ORIENTAL SOUPS
CLEAR SOUP,ORIENTAL SOUPS
Veg Sweet Corn Soup,ORIENTAL SOUPS
Roti,TANDOOR BREADS
Butter Roti,TANDOOR BREADS
Naan,TANDOOR BREADS
Butter Naan,TANDOOR BREADS
Garlic Naan,TANDOOR BREADS
Cheeese Naan,TANDOOR BREADS
Plain Kulcha,TANDOOR BREADS
Stuffed Kulcha,TANDOOR BREADS
Butter Kulcha,TANDOOR BREADS
Missi Roti,TANDOOR BREADS
Paratha Plain,TANDOOR BREADS
Butter Paratha,TANDOOR BREADS
Paratha Stuffed,TANDOOR BREADS
Roomali Roti,TANDOOR BREADS
Butter Roomali Roti,TANDOOR BREADS
Methi Roti,TANDOOR BREADS
Assorted Indian Breads ( 7 Types ),TANDOOR BREADS
