ItemName,RawMaterial,Qty,Unit,Department
Curd Rice,Rai,2.0,GM,
HAKKA NOODLES,Eggs,2.0,PIC,
Oriental Noodles CHICKEN /VEG,Eggs,2.0,PIC,
Thai FRIDE Rice,Eggs,2.0,PIC,
ORIENTAL RICE,Eggs,2.0,PIC,
SZECHWAN NOODLE,Eggs,2.0,PIC,
OMELETTE,Eggs,2.0,pc,
BURNT GARLIC NOODLES CHICKEN / VEG,Eggs,2.0,PIC,
SHANGHAI RICE,Eggs,2.0,PIC,
OMELETTE SANDWICH,Eggs,2.0,pc,
SHANGHAI NOODLES,Eggs,2.0,PIC,
MALAYSIAN VEG/CHICKEN NOODLES,Eggs,2.0,PIC,
CORIANDER VEG NOODLES,Lemon,2.0,GM,
Malysian Soup,Lemon,2.0,GM,
Chicken In Chilly Soya,Maida,2.0,GM,
DOODHI HALWA,Pista,2.0,GM,
Chicken In Chilly Soya,Sugar,2.0,GM,
Cheese & Garlic Naan,Sugar,2.0,GM,
Chicken In Szechwan Style,Sugar,2.0,GM,
Paneer Khurchan,Sugar,2.0,GM,
PEAS PULAO,Sugar,2.0,GM,
ALOO KULCHA,Sugar,2.0,GM,
Crispy Spinach Paneer,Sugar,2.0,GM,
"Mushroom,PANEER, Babycorn In Red Chilli Flakes",Sugar,2.0,GM,
Shredded Chicken In Mixed Pepper,Sugar,2.0,GM,
Vegetables Ingreen Garlic Sauce,Sugar,2.0,GM,
ALOO PARATHA,Sugar,2.0,GM,
FORTUNE NOODLES,Sugar,2.0,GM,
GARLIC KULCHA,Sugar,2.0,GM,
Sour & Pepper Soup,Sugar,2.0,GM,
Vegetables In Chilly Mustard Sauce,Sugar,2.0,GM,
THAI HERB RICE,Sugar,2.0,GM,
Butter Roomali Roti,Sugar,2.0,GM,
Chicken Hoisin,Sugar,2.0,GM,
Exotic Hot Pot Vegtable,Sugar,2.0,GM,
Methi Roti,Sugar,2.0,GM,
Pepper Blast Chicken,Sugar,2.0,GM,
Roast Lamb In Honey And Ginger,Sugar,2.0,GM,
FORTUNE RICE,Sugar,2.0,GM,
Mustard Soup,Sugar,2.0,GM,
Chilly Basil Mushroom,Sugar,2.0,GM,
Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Sugar,2.0,GM,
Chicken Clay Pot,Sugar,2.0,GM,
Roomali Roti,Sugar,2.0,GM,
YANMEIN NOODLES,Sugar,2.0,GM,
BUTTER GARLIC KULCHA,Sugar,2.0,GM,
Chicken In Malaysian Curry,Sugar,2.0,GM,
VEG PULAO,Sugar,2.0,GM,
BUTTER GARLIC ROTI,Sugar,2.0,GM,
Plain Kulcha,Sugar,2.0,GM,
Malysian Soup,Sugar,2.0,GM,
PAN FRIED NOODLES,Sugar,2.0,GM,
Tom Kha Soup,Sugar,2.0,GM,
DAL SHORBA,Sugar,2.0,GM,
Spicy Chilly Garlic Chicken,Sugar,2.0,GM,
SPICY LIME RICE,Sugar,2.0,GM,
Basil Garlic Cheesy Potato,Sugar,2.0,GM,
GARLIC ROTI,Sugar,2.0,GM,
Teriyaki Veg,Sugar,2.0,GM,
Veg Barbeque Sauce,Sugar,2.0,GM,
Thod Man Khow Phad,Sugar,2.0,GM,
Cottage Cheese With Three Peppers,Sugar,2.0,GM,
Funci Tongi Soup,Sugar,2.0,GM,
Chilly Crispy Patato,Sugar,2.0,GM,
"Brocoli,babycorn Mushroom Sizzle Chilly",Sugar,2.0,GM,
BUTTER GARLIC NAAN,Sugar,2.0,GM,
Chicken In Chilly Mustard Sauce,Sugar,2.0,GM,
FUTCHI RICE,Sugar,2.0,GM,
Suimono Soup,Sugar,2.0,GM,
Butter Kulcha,Sugar,2.0,GM,
Lacchedar Paratha/Naan,Sugar,2.0,GM,
Paneer Khurchan,Sugar,2.0,GM,
SPICY LIME NOODLES,Sugar,2.0,GM,
Steam Chicken With Stir Fried Vegetables,Sugar,2.0,GM,
Roast Lamb In Hongkong Style,Sugar,2.0,GM,
Chicken & Mushroom In Oyster Sauce,Sugar,2.0,GM,
Exotic Veg In Sambal Oelek Sauce,Sugar,2.0,GM,
Stir Fried Chicken Chilly & Basil,Sugar,2.0,GM,
Chicken Samble Oelek Sauce,Sugar,2.0,GM,
ONION KULCHA,Sugar,2.0,GM,
DAL SHORBA,Sugar,2.0,GM,
Stuffed Kulcha,Sugar,2.0,GM,
Three Treasure Vegetables In Choice Of Sauce,Sugar,2.0,GM,
Pepper Blast Paneer,Sugar,2.0,GM,
Chicken Hunan,Sugar,2.0,GM,
Burnt Garlic Soup,Sugar,2.0,GM,
PEAS PULAO,Sugar,2.0,GM,
VEG PULAO,Sugar,2.0,GM,
FUTCHI NOODLES,Sugar,2.0,GM,
Chicken Barbeque Sauce,Sugar,2.0,GM,
GREEN PEPPER NOODLES,Sugar,2.0,GM,
"Tofu,babycorn,mushroom,broccoli In Lemon & Paper Sauce",Sugar,2.0,GM,
Chicken In Malaysian Curry,haldi,2.0,GM,
SHANGHAI NOODLES,haldi,2.0,GM,
SPICY LIME RICE,haldi,2.0,GM,
"Tofu,babycorn,mushroom,broccoli In Lemon & Paper Sauce",haldi,2.0,GM,
SPICY LIME NOODLES,haldi,2.0,GM,
SHANGHAI RICE,haldi,2.0,GM,
DOODHI HALWA,ALMOND,2.0,GM,
Wonton & Noodle Soup,Ginger,2.0,GM,
TOMATO SOUP,Ginger,2.0,GM,
Kung Pao Chicken,Ginger,2.0,GM,
TOMATO SOUP,Ginger,2.0,GM,
Nilgiri Korma,Ginger,2.0,GM,
Talumein Soup,Ginger,2.0,GM,
Kung Pao Patato,Ginger,2.0,GM,
TOMATO BASIL SOUP,Ginger,2.0,GM,
CLEAR SOUP,Ginger,2.0,GM,
Dim Sum,Ginger,2.0,GM,
TOMATO BASIL SOUP,Ginger,2.0,GM,
Tandoori Pompfret,TINGUR,2.0,GM,
Tandoori Lobster,TINGUR,2.0,GM,
Tandoori Surmai,TINGUR,2.0,GM,
Tandoori Pomfrate Regular (400gms),TINGUR,2.0,GM,
Tandoori Prawns (100 Gms),TINGUR,2.0,GM,
Tandoori Prawns REG,TINGUR,2.0,GM,
Tandoori Rawas,TINGUR,2.0,GM,
Mustard Soup,Tomato,2.0,GM,
Sour & Pepper Soup,Carrots,2.0,GM,
Crispy Corn,Salt Tata,2.0,GM,
ORIENTAL RICE,Salt Tata,2.0,GM,
Shredded Chicken In Mixed Pepper,Salt Tata,2.0,GM,
Butter Roomali Roti,Salt Tata,2.0,GM,
Cheeese Naan,Salt Tata,2.0,GM,
Chinese Squid,Salt Tata,2.0,GM,
ONION KULCHA,Salt Tata,2.0,GM,
Basil Garlic Cheesy Potato,Salt Tata,2.0,GM,
Cottage Cheese & Mushroom In Black Bean Sauce,Salt Tata,2.0,GM,
KUNG PAO PANEER,Salt Tata,2.0,GM,
