Category_Name,Item_Name,Item_Online_display_name,Price,Commission_Type__P_Percentage__F_Fixed__N_None_,Commission_Value
BAR RUM,BACARDI ANEJO 4 YEARS,,400,P,5
BAR RUM,BACARDI RESERVA OCHO 8,,500,P,5
BAR RUM,DIPLOMATIC RESERVO,,900,P,5
BAR RUM,DIPLOMATIC MAN TUANO,,550,P,5
BAR WINE,Mateus Rose Spraakling,,7500,P,5
BAR WINE,Asolo Prosecco,,8400,P,5
BAR WINE,Mateus Rose,,4500,P,5
BAR WINE,Nederburg Sauvignon Blanc,,5500,P,5
BAR WINE,Zonin Pinot Grigio Friuli Doc,,5500,P,5
BAR WINE,Yellow Tail Chardonnay,,5000,P,5
BAR WINE,Two Ocean Chardonnay,,3500,P,5
BAR WINE,Jacob Creek Chardonnay,,3500,P,5
BAR WINE,B And G MERLOT,,5000,P,5
BAR WINE,B And G Cabernet Sauvignon,,5000,P,5
BAR WINE,Nederburg Shiraz,,5500,P,5
BAR WINE,Zonin Chianti,,5500,P,5
BAR WINE,Yellow Tail Shiraz,,5000,P,5
BAR WINE,Two Ocean Pinotage,,3500,P,5
BAR WINE,Jacob Creek Shiraz Cabernet,,3500,P,5
BAR WINE,Sula Brut,,2500,P,5
BAR WINE,Grover La Resere,,2750,P,5
BAR WINE,Grover Cabernet Shiraz,,1750,P,5
BAR WINE,Sula Rasa Syrah,,3750,P,5
BAR WINE,Sula Satori,,1750,P,5
BAR WINE,Reveilo Merlot,,1750,P,5
BAR WINE,Reveilo Cabernet Sauvignon,,1900,P,5
BAR WINE,Fratelli Sangiovese,,2300,P,5
BAR WINE,The Source Sauvignon Blanc,,3000,P,5
BAR WINE,Sula Chenin Blanc,,1600,P,5
BAR WINE,Sula Sauvignon Blanc,,1750,P,5
BAR WINE,Reveilo Chardonnay,,1850,P,5
BAR WINE,Fratelli Chenin Blanc,,1750,P,5
BAR WINE,Fratelli Sauvignon Blanc,,1750,P,5
BAR WINE,Grover Sauvignon Blanc,,1750,P,5
BAR WINE,Sula Zinfandel Rose,,1750,P,5
BAR WINE,The Source Grenache Rose,,3000,P,5
BAR WINE,Cono Sur Pinot Noir,Cono Sur Pinot Noir,5750,P,5
BAR WINE,MATEUS ROSE SPARKLING,MATEUS ROSE SPARKLING,7500,P,5
